sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778910894.228218,0,1.724773,-0.031379,-0.003079,-0.1228,-0.0160,-0.000232,1.648994,-0.000000,-0.000000,-0.0020,1.724661,-0.031512,-0.003082,-0.0050,-0.0001,-0.000003,-0.114515,0.0000,1.724661,0.000000,-0.000000,1.5622,0.000000,2.000000,247.3689,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0522,0.0000,0.000000,0.2000,17.05,9.55,43.65,7.00,-0.000000,-0.0000,-1.5643,nan,nan,nan,nan,nan,nan,0.0,0.0,133.87291291376658,167.29346547585004,0.032740,0.031209,6561.0,6059.6,-0.020219,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778910894.236061,1,1.696706,-0.048485,-0.003140,0.0281,-0.0393,-0.001085,1.648913,-0.000001,-0.000000,-0.0094,1.696864,-0.048658,-0.003145,0.0030,-0.0001,-0.000006,-0.020695,0.0000,1.696864,0.000000,-0.000000,1.6012,0.000000,2.000000,255.5511,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0567,0.0000,0.000000,0.2240,15.49,9.24,40.22,7.46,-0.000001,-0.0000,-1.6105,nan,nan,nan,nan,nan,nan,0.0,0.0,158.5901867548734,190.72336721055035,0.042258,0.039640,6557.7,6062.8,-0.017967,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778910894.244245,2,1.668277,0.079926,0.011505,-0.0063,-0.0284,0.000619,1.648775,-0.000002,-0.000002,-0.0125,1.668404,0.079744,0.011501,0.0027,-0.0002,-0.000009,-0.006198,0.0000,1.668404,0.000000,-0.000000,1.6382,0.000000,2.000000,250.1687,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0618,0.0000,0.000000,0.2480,14.28,8.46,37.03,4.07,-0.000002,-0.0001,-1.6507,nan,nan,nan,nan,nan,nan,0.0,0.0,167.64968026982436,199.29518898179248,0.044667,0.043346,6552.7,6067.9,-0.014442,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778910894.249107,3,1.736175,0.034194,0.008716,0.0153,0.0016,-0.000705,1.648627,-0.000004,-0.000003,-0.0121,1.736370,0.034051,0.008712,0.0057,-0.0003,-0.000013,0.008732,0.0000,1.736370,0.000000,-0.000000,1.5449,0.000000,2.000000,226.1515,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0673,0.0000,0.000000,0.2720,12.18,7.82,32.18,4.17,-0.000004,-0.0002,-1.5570,nan,nan,nan,nan,nan,nan,0.0,0.0,149.9508418470841,167.9347551080507,0.035849,0.033882,6546.4,6074.2,-0.010050,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778910894.261084,4,1.596638,0.094319,0.005812,-0.0714,0.0542,-0.000420,1.648492,-0.000007,-0.000005,-0.0106,1.596784,0.094288,0.005811,0.0052,-0.0001,-0.000005,0.028835,0.0000,1.596784,0.000000,0.000000,1.7217,0.000000,2.000000,241.9180,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0733,0.0000,0.000000,0.2960,10.40,7.26,28.06,4.09,-0.000007,-0.0003,-1.7322,nan,nan,nan,nan,nan,nan,0.0,0.0,81.73643548886187,90.35512325712628,0.008186,0.006061,6539.2,6081.4,-0.005016,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778910894.273028,5,1.654505,0.012679,0.000742,0.0164,0.0195,-0.000140,1.648462,-0.000004,-0.000003,0.0006,1.654699,0.012684,0.000741,0.0083,0.0000,0.000001,0.061878,0.0000,1.654699,0.000000,0.000000,1.6551,0.000000,2.000000,283.2784,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0798,0.0000,0.000000,0.3200,8.88,6.78,24.54,4.06,-0.000004,-0.0002,-1.6545,nan,nan,nan,nan,nan,nan,0.0,0.0,63.45025185364578,68.35287144003745,-0.000845,-0.002737,6529.0,6091.6,0.002090,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778910894.285069,6,1.625834,-0.013812,-0.002587,0.0699,-0.0231,0.000483,1.648468,0.000001,-0.000000,0.0000,1.626274,-0.013843,-0.002589,0.0207,-0.0002,-0.000011,0.077447,0.0000,1.626274,0.000000,0.000000,1.6887,0.000000,2.000000,291.5555,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0867,0.0000,0.000000,0.3440,7.59,6.38,21.57,4.12,0.000001,-0.0000,-1.6887,nan,nan,nan,nan,nan,nan,0.0,0.0,82.81449036395452,83.05260150906508,0.007980,0.007072,6523.5,6097.1,0.005918,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778910894.297392,7,1.633243,-0.043849,0.007801,-0.0899,-0.0612,-0.000544,1.648453,0.000006,0.000003,-0.0008,1.633561,-0.043961,0.007798,0.0171,-0.0013,-0.000054,0.092991,0.0000,1.633561,0.000000,0.000000,1.6803,0.000000,2.000000,287.4254,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0941,0.0000,0.000000,0.3680,6.50,6.06,19.06,4.23,0.000006,0.0002,-1.6811,nan,nan,nan,nan,nan,nan,0.0,0.0,142.80790523503305,136.23779240734478,0.030459,0.029033,6518.2,6102.3,0.009572,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778910894.309274,8,1.696891,0.074166,-0.009400,-0.0010,0.0245,0.000197,1.648434,0.000013,0.000007,-0.0008,1.697122,0.074110,-0.009401,0.0143,-0.0009,-0.000033,0.110727,0.0000,1.697122,0.000000,-0.000000,1.6008,0.000000,2.000000,219.9992,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1018,0.0000,0.000000,0.3920,5.58,5.87,17.02,4.78,0.000013,0.0004,-1.6016,nan,nan,nan,nan,nan,nan,0.0,0.0,99.6275313103585,91.67456186066295,0.014970,0.014071,6512.6,6107.9,0.013471,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778910894.323573,9,1.532983,0.021768,0.000175,-0.0149,0.0806,0.001148,1.648415,0.000020,0.000011,-0.0007,1.533154,0.021838,0.000177,0.0120,0.0014,0.000053,0.129234,0.0000,1.533154,0.000000,0.000000,1.7887,0.000000,2.000000,260.7898,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1099,0.0000,0.000000,0.4160,4.80,5.66,15.25,4.46,0.000020,0.0006,-1.7894,0.008000,0.247515,0.1771,-0.489779,0.009739,-0.001542,0.0,0.0,37.74807525789009,38.93835711212439,-0.019833,-0.019092,6507.1,6113.5,0.017358,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778910894.333191,10,1.719461,-0.014976,0.011032,0.0144,-0.0094,-0.000309,1.648397,0.000027,0.000015,-0.0006,1.719627,-0.014933,0.011032,0.0129,0.0011,0.000038,0.147814,0.0000,1.719627,0.000000,-0.000000,1.5695,0.000000,2.000000,210.2265,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1184,0.0000,0.000000,0.4400,4.13,5.43,13.70,4.14,0.000027,0.0009,-1.5701,0.008000,0.043543,0.7997,-0.488965,0.006037,-0.002157,0.0,0.0,43.45509765936936,41.52311528944777,-0.012171,-0.011969,6501.6,6119.0,0.021181,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778910894.345372,11,1.708672,-0.034579,-0.000006,0.0527,-0.0122,0.000829,1.648380,0.000033,0.000018,-0.0005,1.708924,-0.034561,-0.000005,0.0210,0.0005,0.000026,0.166410,0.0000,1.708924,0.000000,-0.000000,1.5846,0.000000,2.000000,216.6034,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1272,0.0000,0.000000,0.4640,3.59,5.25,12.43,4.24,0.000033,0.0011,-1.5851,0.008000,0.115309,-0.6304,-0.480904,0.002501,0.005214,0.0,0.0,51.14524678119487,46.222001817970636,-0.005592,-0.004369,6496.2,6124.4,0.024930,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778910894.357123,12,1.696120,-0.078726,-0.005721,-0.0140,0.0018,0.000547,1.648364,0.000040,0.000022,-0.0004,1.696308,-0.078711,-0.005720,0.0174,0.0006,0.000037,0.184286,0.0000,1.696308,0.000000,-0.000000,1.6019,0.000000,2.000000,226.8438,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1364,0.0000,0.000000,0.4880,3.10,5.10,11.29,4.23,0.000040,0.0013,-1.6023,0.008000,0.144837,-0.8097,-0.485473,0.002366,0.003271,0.0,0.0,49.81919736307836,43.751754164267425,-0.005545,-0.003859,6491.1,6129.5,0.028496,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778910894.369104,13,1.574478,0.082237,-0.004506,0.0727,-0.0013,0.001389,1.648349,0.000048,0.000027,-0.0003,1.574765,0.082249,-0.004504,0.0285,0.0005,0.000056,0.202043,0.0000,1.574765,0.000000,0.000000,1.7453,0.000000,2.000000,271.2316,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1458,0.0000,0.000000,0.5120,2.68,4.95,10.31,4.14,0.000048,0.0015,-1.7457,0.008000,0.073636,-0.5670,-0.476402,0.001663,0.004675,0.0,0.0,49.45252123897818,43.44329301305585,-0.004837,-0.001703,6486.1,6134.5,0.031982,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778910894.381177,14,1.565709,-0.003074,-0.001365,0.0011,0.0339,0.000545,1.648334,0.000055,0.000031,-0.0002,1.565926,-0.003026,-0.001363,0.0236,0.0024,0.000119,0.219726,0.0000,1.565926,0.000000,0.000000,1.7547,0.000000,2.000000,265.1646,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1556,0.0000,0.000000,0.5360,2.33,4.83,9.48,4.12,0.000055,0.0018,-1.7549,0.008000,0.140499,-0.1175,-0.484610,0.007902,0.001048,0.0,0.0,34.209660892850465,30.20693659533397,-0.017359,-0.014135,6481.2,6139.4,0.035402,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778910894.393174,15,1.602748,-0.005915,-0.009200,-0.0478,0.0380,0.000958,1.648320,0.000063,0.000035,-0.0002,1.602912,-0.005838,-0.009196,0.0194,0.0046,0.000195,0.237091,0.0000,1.602912,0.000000,0.000000,1.7149,0.000000,2.000000,238.3325,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1656,0.0000,0.000000,0.5600,2.03,4.74,8.81,4.28,0.000063,0.0020,-1.7151,0.008000,0.074736,-0.3846,-0.490344,0.013736,-0.000444,0.0,0.0,31.261595004557293,26.17711364195685,-0.029309,-0.025487,6476.4,6144.1,0.038722,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778910894.405110,16,1.617597,0.083510,0.000554,0.0755,0.0093,0.001159,1.648307,0.000071,0.000039,-0.0001,1.617842,0.083582,0.000558,0.0307,0.0046,0.000218,0.254851,0.0000,1.617842,0.000000,0.000000,1.6983,0.000000,2.000000,232.9306,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1759,0.0000,0.000000,0.5840,1.77,4.65,8.19,4.15,0.000071,0.0023,-1.6984,0.008000,0.143604,-0.4124,-0.480661,0.012870,0.001139,0.0,0.0,30.21398219035956,25.447730998519035,-0.027936,-0.023374,6471.6,6148.9,0.042071,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778910894.421100,17,1.579754,-0.033248,-0.001293,0.0038,-0.0018,-0.001907,1.648295,0.000079,0.000044,-0.0000,1.579947,-0.033196,-0.001292,0.0259,0.0038,0.000128,0.272449,0.0000,1.579947,0.000000,0.000000,1.7398,0.000000,2.000000,239.8190,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1865,0.0000,0.000000,0.6080,1.56,4.66,7.78,4.66,0.000079,0.0025,-1.7398,0.008000,0.199514,0.4652,-0.487251,0.010040,0.000300,0.0,0.0,29.525333298422467,24.557140489644127,-0.020677,-0.019433,6466.9,6153.7,0.045358,0.000000,0.000000,0.5000,1.0000,,,,,
0.2160,1778910894.429174,18,1.660053,-0.069053,0.004051,-0.0159,0.0635,-0.000403,1.648284,0.000088,0.000048,0.0000,1.660203,-0.068952,0.004053,0.0213,0.0082,0.000124,0.289904,0.0000,1.660203,0.000000,-0.000000,1.6484,0.000000,1.500000,82.0810,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1971,0.0000,0.000000,0.6260,1.37,5.51,8.25,10.34,0.000088,0.0028,-1.6484,0.008000,0.118234,0.2261,-0.493712,0.020390,0.000794,0.0,0.0,33.83766432234232,24.362556335322253,-0.040993,-0.040505,6462.3,6158.3,0.048574,0.000000,0.000000,0.5000,1.0000,,,,,
0.2280,1778910894.441128,19,1.671719,-0.021306,-0.004984,-0.0814,0.0224,-0.000871,1.648273,0.000097,0.000053,0.0001,1.671851,-0.021201,-0.004983,0.0178,0.0078,0.000186,0.297984,0.0000,1.671851,0.000000,-0.000000,1.6339,0.000000,1.000000,72.3333,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2077,0.0000,0.000000,0.6380,1.21,5.69,8.11,6.74,0.000097,0.0030,-1.6338,0.008000,0.099625,-0.9056,-0.499288,0.020773,0.002006,0.0,0.0,33.71283564274137,24.59828093602185,-0.041175,-0.041893,6459.5,6161.1,0.050514,0.000000,0.000000,0.5000,1.0000,,,,,
0.2400,1778910894.453154,20,1.600876,0.018911,-0.000754,0.0837,0.0280,0.000919,1.648263,0.000106,0.000057,0.0001,1.601110,0.019025,-0.000752,0.0310,0.0084,0.000231,0.299200,0.0000,1.601110,0.000000,0.000000,1.7169,0.000000,0.695951,69.9246,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2182,0.0000,0.000000,0.6464,1.07,5.85,7.99,6.75,0.000106,0.0033,-1.7168,0.008000,0.168426,-0.0491,-0.487943,0.022168,-0.000993,0.0,0.0,34.640127686770256,23.857355410179863,-0.044594,-0.044001,6458.2,6162.4,0.051445,0.000000,0.000000,0.5000,1.0000,,,,,
0.2520,1778910894.465238,21,1.680785,0.102556,0.000864,-0.0476,0.0143,0.000567,1.648254,0.000116,0.000062,0.0001,1.680973,0.102662,0.000866,0.0254,0.0079,0.000231,0.298545,0.0000,1.680973,0.000000,-0.000000,1.6222,0.000000,0.527154,71.4514,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2284,0.0000,0.000000,0.6527,0.96,5.99,7.90,6.76,0.000116,0.0036,-1.6220,0.008000,0.193657,0.3553,-0.495285,0.020640,-0.003637,0.0,0.0,33.84466466114293,25.781907048771274,-0.041835,-0.040634,6457.7,6162.8,0.051757,0.000000,0.000000,0.5000,1.0000,,,,,
0.2640,1778910894.477239,22,1.668036,-0.089395,-0.006445,0.0376,0.0174,-0.000352,1.648245,0.000126,0.000067,0.0002,1.668246,-0.089295,-0.006444,0.0282,0.0077,0.000209,0.296686,0.0000,1.668246,0.000000,-0.000000,1.6384,0.000000,0.432621,66.9697,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2384,0.0000,0.000000,0.6579,0.86,6.09,7.80,6.65,0.000126,0.0038,-1.6382,0.008000,0.176303,-0.1025,-0.494265,0.020003,0.001606,0.0,0.0,33.264601224540854,26.041418693542525,-0.040236,-0.039716,6457.9,6162.7,0.051666,0.000000,0.000000,0.5000,1.0000,,,,,
0.2760,1778910894.489096,23,1.607847,0.023501,0.003303,-0.0321,-0.0119,-0.000874,1.648236,0.000136,0.000072,0.0002,1.608015,0.023571,0.003303,0.0232,0.0054,0.000120,0.294764,0.0000,1.608015,0.000000,0.000000,1.7093,0.000000,0.389046,67.8696,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2483,0.0000,0.000000,0.6625,0.78,6.17,7.73,6.64,0.000136,0.0041,-1.7091,0.008000,0.028515,0.2649,-0.501054,0.013837,-0.000524,0.0,0.0,28.23775416143866,25.46975408821082,-0.027330,-0.028027,6458.2,6162.4,0.051460,0.000000,0.000000,0.5000,1.0000,,,,,
0.2880,1778910894.501168,24,1.624125,0.030987,-0.002012,0.0864,-0.0037,0.000923,1.648229,0.000147,0.000077,0.0002,1.624388,0.031039,-0.002011,0.0358,0.0041,0.000119,0.291884,0.0000,1.624388,0.000000,0.000000,1.6909,0.000000,0.371143,67.7564,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2578,0.0000,0.000000,0.6670,0.70,6.24,7.65,6.66,0.000147,0.0044,-1.6906,0.008000,0.048605,0.3980,-0.490116,0.010434,-0.002280,0.0,0.0,28.00583529769301,23.575236644437396,-0.021163,-0.020546,6458.8,6161.8,0.051015,0.000000,0.000000,0.5000,1.0000,,,,,
0.3000,1778910894.518526,25,1.707798,0.029334,-0.008403,-0.0296,-0.0064,0.000565,1.648222,0.000159,0.000082,0.0002,1.708010,0.029369,-0.008402,0.0293,0.0028,0.000102,0.289443,0.0000,1.708010,0.000000,-0.000000,1.5859,0.000000,0.354245,66.3123,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2672,0.0000,0.000000,0.6712,0.64,6.30,7.58,6.63,0.000159,0.0047,-1.5857,0.008000,0.065918,-0.4974,-0.498394,0.007181,0.002979,0.0,0.0,30.526007827532027,23.24911423200612,-0.014950,-0.013730,6459.4,6161.2,0.050611,0.000000,0.000000,0.5000,1.0000,,,,,
0.3120,1778910894.525762,26,1.602562,-0.081197,-0.003890,0.0605,-0.0597,0.001073,1.648215,0.000170,0.000087,0.0003,1.602827,-0.081225,-0.003889,0.0357,-0.0022,-0.000001,0.286652,0.0000,1.602827,0.000000,0.000000,1.7150,0.000000,0.358784,68.9252,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2764,0.0000,0.000000,0.6755,0.68,6.35,7.71,6.63,0.000170,0.0050,-1.7148,0.008000,0.056606,-0.1567,-0.493686,-0.005757,-0.001013,0.0,0.0,73.6049929280979,53.91035689477144,0.010377,0.012733,6460.1,6160.5,0.050132,0.000000,0.000000,0.5000,1.0000,,,,,
0.3240,1778910894.537369,27,1.710975,-0.080049,0.001294,-0.0155,-0.0425,0.000254,1.648209,0.000183,0.000092,0.0003,1.711189,-0.080111,0.001294,0.0292,-0.0050,-0.000074,0.283672,0.0000,1.711189,0.000000,-0.000000,1.5815,0.000000,0.355761,66.4799,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2854,0.0000,0.000000,0.6798,0.63,6.39,7.65,6.63,0.000183,0.0053,-1.5812,0.008000,0.012168,-0.1588,-0.501927,-0.021107,0.000213,0.0,0.0,116.41949227388409,93.04538623065895,0.024669,0.026892,6460.8,6159.7,0.049603,0.000000,0.000000,0.5000,1.0000,,,,,
0.3360,1778910894.549168,28,1.610006,0.062065,0.003073,0.0334,-0.0215,0.001024,1.648203,0.000195,0.000098,0.0003,1.610227,0.061996,0.003074,0.0304,-0.0057,-0.000068,0.280938,0.0000,1.610227,0.000000,0.000000,1.7068,0.000000,0.356542,68.9642,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2942,0.0000,0.000000,0.6841,0.58,6.43,7.58,6.64,0.000195,0.0056,-1.7066,0.008000,0.139125,0.4605,-0.501503,-0.022199,0.000746,0.0,0.0,126.12706048247392,105.51663883607458,0.027565,0.030665,6461.5,6159.1,0.049128,0.000000,0.000000,0.5000,1.0000,,,,,
0.3480,1778910894.561221,29,1.712627,-0.028651,-0.005056,0.0676,0.1074,-0.000490,1.648198,0.000209,0.000103,0.0003,1.712904,-0.028606,-0.005055,0.0380,0.0036,0.000125,0.278584,0.0000,1.712904,0.000000,-0.000000,1.5791,0.000000,0.354870,65.5785,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3028,0.0000,0.000000,0.6884,0.53,6.46,7.52,6.62,0.000209,0.0059,-1.5788,0.008000,0.078352,-0.2479,-0.494025,0.000694,0.000261,0.0,0.0,29.06412837678998,23.62459439690646,-0.019047,-0.017172,6462.1,6158.5,0.048715,0.000000,0.000000,0.5000,1.0000,,,,,
0.3600,1778910894.573268,30,1.721153,-0.043319,0.003533,0.0041,-0.0146,0.001945,1.648193,0.000222,0.000108,0.0002,1.721382,-0.043293,0.003536,0.0318,0.0018,0.000197,0.276047,0.0000,1.721382,0.000000,-0.000000,1.5670,0.000000,0.353536,65.4420,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3113,0.0000,0.000000,0.6926,0.49,6.49,7.48,6.66,0.000222,0.0062,-1.5667,0.008000,0.147181,0.1515,-0.500119,-0.003539,0.000325,0.0,0.0,34.583652677346606,26.67363133047955,-0.010920,-0.006923,6462.7,6157.8,0.048272,0.000000,0.000000,0.5000,1.0000,,,,,
0.3720,1778910894.585243,31,1.591883,0.059537,-0.001563,0.0348,0.0083,0.000719,1.648188,0.000237,0.000113,0.0002,1.592118,0.059566,-0.001560,0.0327,0.0021,0.000207,0.274220,0.0000,1.592118,0.000000,0.000000,1.7267,0.000000,0.362557,70.5028,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3196,0.0000,0.000000,0.6969,0.46,6.52,7.44,6.70,0.000237,0.0065,-1.7265,0.008000,0.194894,0.2785,-0.498961,-0.002685,0.000234,0.0,0.0,33.23739832903506,26.015353562306956,-0.012467,-0.008325,6463.2,6157.4,0.047954,0.000000,0.000000,0.5000,1.0000,,,,,
0.3840,1778910894.597259,32,1.617698,-0.079449,-0.003232,0.0653,0.0036,0.000110,1.648183,0.000251,0.000119,0.0002,1.617982,-0.079423,-0.003230,0.0394,0.0020,0.000176,0.271697,0.0000,1.617982,0.000000,0.000000,1.6981,0.000000,0.376576,68.6494,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3277,0.0000,0.000000,0.7015,0.44,6.53,7.42,6.61,0.000251,0.0068,-1.6979,0.008000,0.111325,-0.3751,-0.492075,-0.000310,0.000679,0.0,0.0,34.28001616563233,26.409749819918204,-0.011505,-0.008024,6463.8,6156.7,0.047497,0.000000,0.000000,0.5000,1.0000,,,,,
0.3960,1778910894.617086,33,1.643968,-0.009640,0.000548,0.0652,0.0361,-0.000003,1.648179,0.000267,0.000124,0.0002,1.644291,-0.009584,0.000550,0.0448,0.0044,0.000178,0.269410,0.0000,1.644291,0.000000,0.000000,1.6677,0.000000,0.381570,66.8831,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3357,0.0000,0.000000,0.7060,0.42,6.57,7.40,6.75,0.000267,0.0071,-1.6675,0.008000,0.051044,0.1460,-0.486409,0.006766,0.000273,0.0,0.0,28.699770948489814,24.181362492066086,-0.023248,-0.020445,6464.4,6156.1,0.047077,0.000000,0.000000,0.5000,1.0000,,,,,
0.4080,1778910894.624387,34,1.665202,0.007066,0.001173,-0.0245,-0.0633,-0.000818,1.648174,0.000283,0.000130,0.0002,1.665498,0.007049,0.001173,0.0367,-0.0012,-0.000007,0.268132,0.0000,1.665498,0.000000,-0.000000,1.6418,0.000000,0.381529,66.6291,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3436,0.0000,0.000000,0.7106,0.88,6.57,8.33,6.60,0.000283,0.0074,-1.6417,0.008000,0.095420,0.5480,-0.494445,-0.006344,0.000042,0.0,0.0,64.62416483250125,45.48125850477615,0.006242,0.007457,6464.9,6155.7,0.046781,0.000000,0.000000,0.5000,1.0000,,,,,
0.4200,1778910894.633354,35,1.618527,0.003200,-0.009087,-0.0035,-0.0221,-0.000937,1.648170,0.000300,0.000135,0.0001,1.618762,0.003160,-0.009088,0.0300,-0.0026,-0.000072,0.266447,0.0000,1.618762,0.000000,0.000000,1.6972,0.000000,0.389628,67.9297,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3514,0.0000,0.000000,0.7153,0.79,6.59,8.18,6.73,0.000300,0.0077,-1.6971,0.008000,0.091499,-0.2979,-0.500843,-0.004874,0.000091,0.0,0.0,85.39597311120764,59.43036489023413,0.014184,0.013966,6465.3,6155.3,0.046495,0.000000,0.000000,0.5000,1.0000,,,,,
0.4320,1778910894.645366,36,1.701666,0.000075,0.004754,0.1274,-0.0405,0.001152,1.648176,0.000289,0.000145,0.0016,1.702054,0.000008,0.004754,0.0493,-0.0050,-0.000102,0.271664,0.0000,1.702054,0.000000,-0.000000,1.5941,0.000000,0.378832,65.7801,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3591,0.0000,0.000000,0.7198,0.72,6.60,8.04,6.62,0.000289,0.0083,-1.5925,0.008000,0.100212,0.1986,-0.481279,-0.008638,0.000268,-61.67424661954561,-83.30963813073095,122.73551619057358,97.03631882817854,0.026414,0.027709,6464.0,6156.6,0.047412,0.000000,0.000000,0.5000,1.0000,,,,,
0.4440,1778910894.657253,37,1.625891,-0.028523,-0.004812,0.0612,0.0026,0.003988,1.648260,0.000278,0.000165,0.0074,1.626294,-0.028574,-0.004809,0.0522,-0.0039,0.000038,0.301424,0.0000,1.626294,0.000000,0.000000,1.6887,0.000000,0.353097,66.5604,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3666,0.0000,0.000000,0.7241,0.66,6.61,7.92,6.70,0.000278,0.0094,-1.6813,0.008000,0.096420,-0.4514,-0.478283,-0.003671,0.002255,-249.84467976630276,-204.48357369968744,93.95010425080329,82.21414337359977,0.017836,0.023976,6456.4,6164.2,0.052690,0.000000,0.000000,0.5000,1.0000,,,,,
