time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
8.9010,19.9165,-0.0741,3.390,0,22.236,1.858,0.519,3.0186,2.019,3.019,0,1
8.9040,19.9260,-0.0778,3.388,0,22.236,1.858,0.519,3.0138,2.019,3.019,0,1
8.9070,19.9355,-0.0815,3.388,0,22.236,1.858,0.519,3.0089,2.019,3.019,0,1
8.9100,19.9449,-0.0852,3.388,0,22.236,1.858,0.519,3.0041,2.019,3.019,0,1
8.9130,19.9544,-0.0889,3.387,0,22.236,1.858,0.519,2.9993,2.019,3.019,0,1
8.9160,19.9638,-0.0926,3.385,0,22.236,1.858,0.519,2.9945,2.019,3.019,0,1
8.9190,19.9733,-0.0963,3.385,0,22.236,1.858,0.519,2.9898,2.019,3.019,0,1
8.9220,19.9827,-0.1001,3.386,0,22.236,1.858,0.519,2.9851,2.019,3.019,0,1
8.9250,19.9921,-0.1038,3.385,0,22.236,1.858,0.519,2.9805,2.019,3.019,0,1
8.9280,20.0016,-0.1075,3.385,0,22.236,1.858,0.519,2.9758,2.019,3.019,0,1
8.9310,20.0110,-0.1113,3.383,0,22.236,1.858,0.519,2.9712,2.019,3.019,0,1
8.9340,20.0205,-0.1150,3.382,0,22.236,1.858,0.519,2.9666,2.019,3.019,0,1
8.9370,20.0299,-0.1187,3.381,0,22.236,1.858,0.519,2.9621,2.019,3.019,0,1
8.9400,20.0393,-0.1225,3.382,0,22.236,1.858,0.519,2.9576,2.019,3.019,0,1
8.9430,20.0488,-0.1262,3.381,0,22.236,1.858,0.519,2.9531,2.019,3.019,0,1
8.9460,20.0582,-0.1299,3.381,0,22.236,1.858,0.519,2.9486,2.019,3.019,0,1
8.9490,20.0676,-0.1336,3.381,0,22.236,1.858,0.519,2.9441,2.019,3.019,0,1
8.9520,20.0771,-0.1373,3.382,0,22.236,1.858,0.519,2.9397,2.019,3.019,0,1
8.9550,20.0865,-0.1410,3.379,0,22.236,1.858,0.519,2.9353,2.019,3.019,0,1
8.9580,20.0960,-0.1447,3.380,0,22.236,1.858,0.519,2.9309,2.019,3.019,0,1
