time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.8640,22.0366,2.3819,4.138,3,24.969,1.073,0.717,3.2113,2.217,3.217,0,1
6.8670,22.0481,2.3865,4.140,3,24.969,1.073,0.717,3.2027,2.217,3.217,0,1
6.8700,22.0596,2.3911,4.142,3,24.969,1.073,0.717,3.1941,2.217,3.217,0,1
6.8730,22.0711,2.3958,4.146,3,24.969,1.073,0.717,3.1855,2.217,3.217,0,1
6.8760,22.0827,2.4004,4.145,3,24.969,1.073,0.717,3.1769,2.217,3.217,0,1
6.8790,22.0942,2.4050,4.142,3,24.969,1.073,0.717,3.1684,2.217,3.217,0,1
6.8820,22.1057,2.4097,4.143,3,24.969,1.073,0.717,3.1600,2.217,3.217,0,1
6.8850,22.1172,2.4143,4.143,3,24.969,1.073,0.717,3.1515,2.217,3.217,0,1
6.8880,22.1287,2.4190,4.146,3,24.969,1.073,0.717,3.1431,2.217,3.217,0,1
6.8910,22.1402,2.4237,4.141,3,24.969,1.073,0.717,3.1347,2.217,3.217,0,1
6.8940,22.1517,2.4284,4.141,3,24.969,1.073,0.717,3.1264,2.217,3.217,0,1
6.8970,22.1632,2.4331,4.144,3,24.969,1.073,0.717,3.1181,2.217,3.217,0,1
6.9000,22.1747,2.4378,4.142,3,24.969,1.073,0.717,3.1098,2.217,3.217,0,1
6.9030,22.1862,2.4425,4.142,3,24.969,1.073,0.717,3.1016,2.217,3.217,0,1
6.9060,22.1977,2.4472,4.142,3,24.969,1.073,0.717,3.0934,2.217,3.217,0,1
6.9090,22.2091,2.4520,4.141,3,24.969,1.073,0.717,3.0852,2.217,3.217,0,1
6.9120,22.2206,2.4568,4.142,3,24.969,1.073,0.717,3.0771,2.217,3.217,0,1
6.9150,22.2321,2.4615,4.141,3,24.969,1.073,0.717,3.0690,2.217,3.217,0,1
6.9180,22.2435,2.4663,4.141,3,24.969,1.073,0.717,3.0610,2.217,3.217,0,1
6.9210,22.2550,2.4712,4.141,3,24.969,1.073,0.717,3.0530,2.217,3.217,0,1
6.9240,22.2664,2.4760,4.141,3,24.969,1.073,0.717,3.0451,2.217,3.217,0,1
6.9270,22.2778,2.4808,4.143,3,24.969,1.073,0.717,3.0372,2.217,3.217,0,1
6.9300,22.2893,2.4857,4.141,3,24.969,1.073,0.717,3.0293,2.217,3.217,0,1
6.9330,22.3007,2.4905,4.144,3,24.969,1.073,0.717,3.0215,2.217,3.217,0,1
6.9360,22.3121,2.4954,4.129,3,24.969,1.073,0.717,3.0137,2.217,3.217,0,1
6.9390,22.3235,2.5003,4.130,3,24.969,1.073,0.717,3.0060,2.217,3.217,0,1
6.9420,22.3349,2.5052,4.132,3,24.969,1.073,0.717,2.9983,2.217,3.217,0,1
6.9450,22.3463,2.5101,4.135,3,24.969,1.073,0.717,2.9907,2.217,3.217,0,1
6.9480,22.3577,2.5150,4.139,3,24.969,1.073,0.717,2.9831,2.217,3.217,0,1
6.9510,22.3691,2.5200,4.143,3,24.969,1.073,0.717,2.9755,2.217,3.217,0,1
6.9540,22.3805,2.5250,4.146,3,24.969,1.073,0.717,2.9680,2.217,3.217,0,1
6.9570,22.3918,2.5299,4.142,3,24.969,1.073,0.717,2.9605,2.217,3.217,0,1
6.9600,22.4032,2.5350,4.142,3,24.969,1.073,0.717,2.9531,2.217,3.217,0,1
6.9630,22.4146,2.5400,4.143,3,24.969,1.073,0.717,2.9458,2.217,3.217,0,1
6.9660,22.4260,2.5450,4.146,3,24.969,1.073,0.717,2.9384,2.217,3.217,0,1
6.9690,22.4373,2.5501,4.140,3,24.969,1.073,0.717,2.9311,2.217,3.217,0,1
6.9720,22.4487,2.5552,4.152,3,24.969,1.073,0.717,2.9239,2.217,3.217,0,1
6.9750,22.4601,2.5602,4.151,3,24.969,1.073,0.717,2.9167,2.217,3.217,0,1
6.9780,22.4714,2.5653,4.152,3,24.969,1.073,0.717,2.9095,2.217,3.217,0,1
6.9810,22.4828,2.5704,4.152,3,24.969,1.073,0.717,2.9024,2.217,3.217,0,1
6.9840,22.4941,2.5756,4.153,3,24.969,1.073,0.717,2.8953,2.217,3.217,0,1
6.9870,22.5055,2.5807,4.155,3,24.969,1.073,0.717,2.8883,2.217,3.217,0,1
6.9900,22.5169,2.5858,4.156,3,24.969,1.073,0.717,2.8813,2.217,3.217,0,1
6.9930,22.5282,2.5909,4.159,3,24.969,1.073,0.717,2.8744,2.217,3.217,0,1
6.9960,22.5396,2.5961,4.162,3,24.969,1.073,0.717,2.8674,2.217,3.217,0,1
6.9990,22.5510,2.6012,4.164,3,24.969,1.073,0.717,2.8605,2.217,3.217,0,1
7.0020,22.5624,2.6064,4.163,3,24.969,1.073,0.717,2.8537,2.217,3.217,0,1
7.0050,22.5738,2.6115,4.163,3,24.969,1.073,0.717,2.8468,2.217,3.217,0,1
7.0080,22.5852,2.6166,4.162,3,24.969,1.073,0.717,2.8401,2.217,3.217,0,1
7.0110,22.5965,2.6217,4.150,3,24.969,1.073,0.717,2.8333,2.217,3.217,0,1
7.0140,22.6079,2.6268,4.167,3,24.969,1.073,0.717,2.8266,2.217,3.217,0,1
7.0170,22.6193,2.6319,4.158,3,24.969,1.073,0.717,2.8199,2.217,3.217,0,1
7.0200,22.6307,2.6369,4.159,3,24.969,1.073,0.717,2.8132,2.217,3.217,0,1
7.0230,22.6421,2.6420,4.159,3,24.969,1.073,0.717,2.8066,2.217,3.217,0,1
7.0260,22.6535,2.6470,4.158,3,24.969,1.073,0.717,2.7999,2.217,3.217,0,1
7.0290,22.6649,2.6520,4.155,3,24.969,1.073,0.717,2.7934,2.217,3.217,0,1
7.0320,22.6763,2.6571,4.166,3,24.969,1.073,0.717,2.7868,2.217,3.217,0,1
7.0350,22.6878,2.6621,4.157,3,24.969,1.073,0.717,2.7802,2.217,3.217,0,1
7.0380,22.6992,2.6670,4.157,3,24.969,1.073,0.717,2.7737,2.217,3.217,0,1
7.0410,22.7107,2.6720,4.162,3,24.969,1.073,0.717,2.7672,2.217,3.217,0,1
7.0440,22.7221,2.6770,4.163,3,24.969,1.073,0.717,2.7607,2.217,3.217,0,1
7.0470,22.7336,2.6819,4.165,3,24.969,1.073,0.717,2.7543,2.217,3.217,0,1
7.0500,22.7451,2.6869,4.167,3,24.969,1.073,0.717,2.7479,2.217,3.217,0,1
7.0530,22.7566,2.6919,4.170,3,24.969,1.073,0.717,2.7416,2.217,3.217,0,1
7.0560,22.7681,2.6968,4.172,3,24.969,1.073,0.717,2.7353,2.217,3.217,0,1
7.0590,22.7796,2.7018,4.174,3,24.969,1.073,0.717,2.7290,2.217,3.217,0,1
7.0620,22.7910,2.7067,4.171,3,24.969,1.073,0.717,2.7227,2.217,3.217,0,1
7.0650,22.8025,2.7117,4.175,3,24.969,1.073,0.717,2.7165,2.217,3.217,0,1
7.0680,22.8140,2.7166,4.170,3,24.969,1.073,0.717,2.7104,2.217,3.217,0,1
7.0710,22.8255,2.7215,4.168,3,24.969,1.073,0.717,2.7043,2.217,3.217,0,1
7.0740,22.8369,2.7265,4.166,3,24.969,1.073,0.717,2.6982,2.217,3.217,0,1
7.0770,22.8484,2.7314,4.168,3,24.969,1.073,0.717,2.6922,2.217,3.217,0,1
7.0800,22.8599,2.7362,4.167,3,24.969,1.073,0.717,2.6861,2.217,3.217,0,1
7.0830,22.8714,2.7411,4.166,3,24.969,1.073,0.717,2.6802,2.217,3.217,0,1
7.0860,22.8829,2.7460,4.166,3,24.969,1.073,0.717,2.6742,2.217,3.217,0,1
7.0890,22.8944,2.7508,4.166,3,24.969,1.073,0.717,2.6683,2.217,3.217,0,1
7.0920,22.9059,2.7556,4.167,3,24.969,1.073,0.717,2.6624,2.217,3.217,0,1
7.0950,22.9174,2.7605,4.166,3,24.969,1.073,0.717,2.6566,2.217,3.217,0,1
7.0980,22.9289,2.7652,4.164,3,24.969,1.073,0.717,2.6507,2.217,3.217,0,1
7.1010,22.9405,2.7700,4.163,3,24.969,1.073,0.717,2.6449,2.217,3.217,0,1
7.1040,22.9520,2.7748,4.162,3,24.969,1.073,0.717,2.6392,2.217,3.217,0,1
7.1070,22.9635,2.7795,4.162,3,24.969,1.073,0.717,2.6334,2.217,3.217,0,1
7.1100,22.9751,2.7842,4.161,3,24.969,1.073,0.717,2.6277,2.217,3.217,0,1
7.1130,22.9866,2.7889,4.160,3,24.969,1.073,0.717,2.6221,2.217,3.217,0,1
7.1160,22.9981,2.7936,4.159,3,24.969,1.073,0.717,2.6164,2.217,3.217,0,1
7.1190,23.0097,2.7983,4.158,3,24.969,1.073,0.717,2.6108,2.217,3.217,0,1
7.1220,23.0212,2.8029,4.156,3,24.969,1.073,0.717,2.6052,2.217,3.217,0,1
7.1250,23.0328,2.8075,4.156,3,24.969,1.073,0.717,2.5997,2.217,3.217,0,1
7.1280,23.0443,2.8122,4.154,3,24.969,1.073,0.717,2.5942,2.217,3.217,0,1
7.1310,23.0559,2.8167,4.149,3,24.969,1.073,0.717,2.5887,2.217,3.217,0,1
7.1340,23.0674,2.8213,4.139,3,24.969,1.073,0.717,2.5833,2.217,3.217,0,1
7.1370,23.0790,2.8259,4.144,3,24.969,1.073,0.717,2.5779,2.217,3.217,0,1
7.1400,23.0905,2.8304,4.144,3,24.969,1.073,0.717,2.5725,2.217,3.217,0,1
7.1430,23.1021,2.8349,4.146,3,24.969,1.073,0.717,2.5672,2.217,3.217,0,1
7.1460,23.1137,2.8394,4.145,3,24.969,1.073,0.717,2.5619,2.217,3.217,0,1
7.1490,23.1253,2.8439,4.143,3,24.969,1.073,0.717,2.5566,2.217,3.217,0,1
7.1520,23.1369,2.8484,4.143,3,24.969,1.073,0.717,2.5514,2.217,3.217,0,1
7.1550,23.1484,2.8528,4.141,3,24.969,1.073,0.717,2.5462,2.217,3.217,0,1
7.1580,23.1600,2.8572,4.142,3,24.969,1.073,0.717,2.5410,2.217,3.217,0,1
7.1610,23.1716,2.8616,4.140,3,24.969,1.073,0.717,2.5359,2.217,3.217,0,1
7.1640,23.1833,2.8660,4.142,3,24.969,1.073,0.717,2.5308,2.217,3.217,0,1
7.1670,23.1949,2.8704,4.140,3,24.969,1.073,0.717,2.5257,2.217,3.217,0,1
7.1700,23.2065,2.8747,4.137,3,24.969,1.073,0.717,2.5206,2.217,3.217,0,1
7.1730,23.2181,2.8790,4.133,3,24.969,1.073,0.717,2.5156,2.217,3.217,0,1
7.1760,23.2297,2.8833,4.134,3,24.969,1.073,0.717,2.5106,2.217,3.217,0,1
7.1790,23.2414,2.8876,4.134,3,24.969,1.073,0.717,2.5057,2.217,3.217,0,1
7.1820,23.2530,2.8919,4.133,3,24.969,1.073,0.717,2.5008,2.217,3.217,0,1
7.1850,23.2646,2.8961,4.131,3,24.969,1.073,0.717,2.4959,2.217,3.217,0,1
7.1880,23.2763,2.9003,4.131,3,24.969,1.073,0.717,2.4911,2.217,3.217,0,1
7.1910,23.2879,2.9046,4.130,3,24.969,1.073,0.717,2.4863,2.217,3.217,0,1
7.1940,23.2996,2.9088,4.129,3,24.969,1.073,0.717,2.4815,2.217,3.217,0,1
7.1970,23.3112,2.9129,4.130,3,24.969,1.073,0.717,2.4768,2.217,3.217,0,1
7.2000,23.3229,2.9171,4.129,3,24.969,1.073,0.717,2.4721,2.217,3.217,0,1
7.2030,23.3346,2.9213,4.131,3,24.969,1.073,0.717,2.4675,2.217,3.217,0,1
7.2060,23.3462,2.9254,4.128,3,24.969,1.073,0.717,2.4629,2.217,3.217,0,1
7.2090,23.3579,2.9295,4.129,3,24.969,1.073,0.717,2.4583,2.217,3.217,0,1
7.2120,23.3696,2.9336,4.125,3,24.969,1.073,0.717,2.4538,2.217,3.217,0,1
7.2150,23.3813,2.9376,4.125,3,24.969,1.073,0.717,2.4493,2.217,3.217,0,1
7.2180,23.3930,2.9417,4.124,3,24.969,1.073,0.717,2.4448,2.217,3.217,0,1
7.2210,23.4047,2.9457,4.124,3,24.969,1.073,0.717,2.4404,2.217,3.217,0,1
7.2240,23.4164,2.9497,4.123,3,24.969,1.073,0.717,2.4360,2.217,3.217,0,1
7.2270,23.4281,2.9537,4.126,3,24.969,1.073,0.717,2.4316,2.217,3.217,0,1
7.2300,23.4398,2.9577,4.126,3,24.969,1.073,0.717,2.4273,2.217,3.217,0,1
7.2330,23.4515,2.9616,4.122,3,24.969,1.073,0.717,2.4230,2.217,3.217,0,1
7.2360,23.4633,2.9656,4.122,3,24.969,1.073,0.717,2.4187,2.217,3.217,0,1
7.2390,23.4750,2.9695,4.121,3,24.969,1.073,0.717,2.4145,2.217,3.217,0,1
7.2420,23.4867,2.9734,4.122,3,24.969,1.073,0.717,2.4104,2.217,3.217,0,1
7.2450,23.4985,2.9773,4.122,3,24.969,1.073,0.717,2.4063,2.217,3.217,0,1
7.2480,23.5102,2.9812,4.123,3,24.969,1.073,0.717,2.4022,2.217,3.217,0,1
7.2510,23.5220,2.9851,4.120,3,24.969,1.073,0.717,2.3981,2.217,3.217,0,1
7.2540,23.5337,2.9889,4.121,3,24.969,1.073,0.717,2.3941,2.217,3.217,0,1
7.2570,23.5455,2.9927,4.117,3,24.969,1.073,0.717,2.3902,2.217,3.217,0,1
7.2600,23.5573,2.9965,4.119,3,24.969,1.073,0.717,2.3863,2.217,3.217,0,1
7.2630,23.5690,3.0003,4.117,3,24.969,1.073,0.717,2.3824,2.217,3.217,0,1
7.2660,23.5808,3.0041,4.117,3,24.969,1.073,0.717,2.3785,2.217,3.217,0,1
7.2690,23.5926,3.0078,4.115,3,24.969,1.073,0.717,2.3747,2.217,3.217,0,1
7.2720,23.6043,3.0116,4.115,3,24.969,1.073,0.717,2.3710,2.217,3.217,0,1
7.2750,23.6161,3.0153,4.113,3,24.969,1.073,0.717,2.3673,2.217,3.217,0,1
7.2780,23.6279,3.0190,4.113,3,24.969,1.073,0.717,2.3636,2.217,3.217,0,1
7.2810,23.6397,3.0226,4.113,3,24.969,1.073,0.717,2.3600,2.217,3.217,0,1
7.2840,23.6515,3.0263,4.113,3,24.969,1.073,0.717,2.3564,2.217,3.217,0,1
7.2870,23.6633,3.0299,4.113,3,24.969,1.073,0.717,2.3528,2.217,3.217,0,1
7.2900,23.6751,3.0335,4.112,3,24.969,1.073,0.717,2.3493,2.217,3.217,0,1
7.2930,23.6869,3.0371,4.111,3,24.969,1.073,0.717,2.3458,2.217,3.217,0,1
7.2960,23.6987,3.0407,4.111,3,24.969,1.073,0.717,2.3423,2.217,3.217,0,1
7.2990,23.7106,3.0442,4.111,3,24.969,1.073,0.717,2.3389,2.217,3.217,0,1
7.3020,23.7224,3.0477,4.112,3,24.969,1.073,0.717,2.3356,2.217,3.217,0,1
7.3050,23.7343,3.0512,4.111,3,24.969,1.073,0.717,2.3322,2.217,3.217,0,1
7.3080,23.7461,3.0547,4.109,3,24.969,1.073,0.717,2.3289,2.217,3.217,0,1
7.3110,23.7580,3.0581,4.108,3,24.969,1.073,0.717,2.3257,2.217,3.217,0,1
7.3140,23.7698,3.0616,4.109,3,24.969,1.073,0.717,2.3225,2.217,3.217,0,1
7.3170,23.7817,3.0650,4.107,3,24.969,1.073,0.717,2.3193,2.217,3.217,0,1
7.3200,23.7935,3.0684,4.109,3,24.969,1.073,0.717,2.3162,2.217,3.217,0,1
7.3230,23.8054,3.0718,4.109,3,24.969,1.073,0.717,2.3131,2.217,3.217,0,1
7.3260,23.8174,3.0752,4.124,3,24.969,1.073,0.717,2.3101,2.217,3.217,0,1
7.3290,23.8293,3.0785,4.116,3,24.969,1.073,0.717,2.3071,2.217,3.217,0,1
7.3320,23.8412,3.0819,4.117,3,24.969,1.073,0.717,2.3041,2.217,3.217,0,1
7.3350,23.8531,3.0852,4.114,3,24.969,1.073,0.717,2.3013,2.217,3.217,0,1
7.3380,23.8650,3.0886,4.114,3,24.969,1.073,0.717,2.2984,2.217,3.217,0,1
7.3410,23.8770,3.0919,4.114,3,24.969,1.073,0.717,2.2957,2.217,3.217,0,1
7.3440,23.8889,3.0952,4.114,3,24.969,1.073,0.717,2.2929,2.217,3.217,0,1
7.3470,23.9008,3.0985,4.113,3,24.969,1.073,0.717,2.2903,2.217,3.217,0,1
7.3500,23.9127,3.1018,4.104,3,24.969,1.073,0.717,2.2876,2.217,3.217,0,1
7.3530,23.9246,3.1051,4.107,3,24.969,1.073,0.717,2.2851,2.217,3.217,0,1
7.3560,23.9365,3.1083,4.106,3,24.969,1.073,0.717,2.2825,2.217,3.217,0,1
7.3590,23.9484,3.1115,4.104,3,24.969,1.073,0.717,2.2800,2.217,3.217,0,1
7.3620,23.9603,3.1147,4.105,3,24.969,1.073,0.717,2.2776,2.217,3.217,0,1
7.3650,23.9723,3.1179,4.104,3,24.969,1.073,0.717,2.2752,2.217,3.217,0,1
7.3680,23.9842,3.1210,4.104,3,24.969,1.073,0.717,2.2728,2.217,3.217,0,1
7.3710,23.9961,3.1241,4.102,3,24.969,1.073,0.717,2.2705,2.217,3.217,0,1
7.3740,24.0081,3.1272,4.102,3,24.969,1.073,0.717,2.2682,2.217,3.217,0,1
7.3770,24.0200,3.1303,4.099,3,24.969,1.073,0.717,2.2660,2.217,3.217,0,1
7.3800,24.0320,3.1333,4.100,3,24.969,1.073,0.717,2.2637,2.217,3.217,0,1
7.3830,24.0439,3.1364,4.097,3,24.969,1.073,0.717,2.2616,2.217,3.217,0,1
7.3860,24.0559,3.1394,4.096,3,24.969,1.073,0.717,2.2595,2.217,3.217,0,1
7.3890,24.0679,3.1423,4.095,3,24.969,1.073,0.717,2.2574,2.217,3.217,0,1
7.3920,24.0798,3.1453,4.094,3,24.969,1.073,0.717,2.2553,2.217,3.217,0,1
7.3950,24.0918,3.1482,4.094,3,24.969,1.073,0.717,2.2534,2.217,3.217,0,1
7.3980,24.1038,3.1511,4.093,3,24.969,1.073,0.717,2.2514,2.217,3.217,0,1
7.4010,24.1158,3.1540,4.093,3,24.969,1.073,0.717,2.2495,2.217,3.217,0,1
7.4040,24.1278,3.1569,4.093,3,24.969,1.073,0.717,2.2476,2.217,3.217,0,1
7.4070,24.1398,3.1597,4.092,3,24.969,1.073,0.717,2.2458,2.217,3.217,0,1
7.4100,24.1518,3.1625,4.093,3,24.969,1.073,0.717,2.2440,2.217,3.217,0,1
7.4130,24.1638,3.1653,4.093,3,24.969,1.073,0.717,2.2423,2.217,3.217,0,1
7.4160,24.1759,3.1681,4.093,3,24.969,1.073,0.717,2.2406,2.217,3.217,0,1
7.4190,24.1879,3.1709,4.092,3,24.969,1.073,0.717,2.2390,2.217,3.217,0,1
7.4220,24.1999,3.1737,4.093,3,24.969,1.073,0.717,2.2374,2.217,3.217,0,1
7.4250,24.2120,3.1764,4.090,3,24.969,1.073,0.717,2.2359,2.217,3.217,0,1
7.4280,24.2240,3.1791,4.086,3,24.969,1.073,0.717,2.2344,2.217,3.217,0,1
7.4310,24.2360,3.1818,4.085,3,24.969,1.073,0.717,2.2330,2.217,3.217,0,1
7.4340,24.2480,3.1845,4.084,3,24.969,1.073,0.717,2.2316,2.217,3.217,0,1
7.4370,24.2600,3.1872,4.088,3,24.969,1.073,0.717,2.2303,2.217,3.217,0,1
7.4400,24.2721,3.1898,4.089,3,24.969,1.073,0.717,2.2290,2.217,3.217,0,1
7.4430,24.2841,3.1925,4.088,3,24.969,1.073,0.717,2.2278,2.217,3.217,0,1
7.4460,24.2962,3.1951,4.090,3,24.969,1.073,0.717,2.2266,2.217,3.217,0,1
7.4490,24.3083,3.1977,4.091,3,24.969,1.073,0.717,2.2254,2.217,3.217,0,1
7.4520,24.3203,3.2003,4.090,3,24.969,1.073,0.717,2.2244,2.217,3.217,0,1
7.4550,24.3324,3.2028,4.090,3,24.969,1.073,0.717,2.2234,2.217,3.217,0,1
7.4580,24.3445,3.2054,4.092,3,24.969,1.073,0.717,2.2224,2.217,3.217,0,1
7.4610,24.3566,3.2080,4.092,3,24.969,1.073,0.717,2.2215,2.217,3.217,0,1
7.4640,24.3687,3.2105,4.093,3,24.969,1.073,0.717,2.2206,2.217,3.217,0,1
7.4670,24.3807,3.2130,4.093,3,24.969,1.073,0.717,2.2198,2.217,3.217,0,1
7.4700,24.3928,3.2155,4.094,3,24.969,1.073,0.717,2.2190,2.217,3.217,0,1
7.4730,24.4049,3.2180,4.093,3,24.969,1.073,0.717,2.2183,2.217,3.217,0,1
7.4760,24.4170,3.2204,4.092,3,24.969,1.073,0.717,2.2176,2.217,3.217,0,1
7.4790,24.4292,3.2229,4.094,3,24.969,1.073,0.717,2.2170,2.217,3.217,0,1
7.4820,24.4413,3.2253,4.095,3,24.969,1.073,0.717,2.2165,2.217,3.217,1,0
7.4850,24.4534,3.2277,4.096,3,24.969,1.073,0.717,2.2160,2.217,3.217,1,0
7.4880,24.4655,3.2301,4.097,3,24.969,1.073,0.717,2.2155,2.217,3.217,1,0
7.4910,24.4777,3.2325,4.095,3,24.969,1.073,0.717,2.2151,2.217,3.217,1,0
7.4940,24.4898,3.2348,4.098,3,24.969,1.073,0.717,2.2147,2.217,3.217,1,0
7.4970,24.5019,3.2372,4.100,3,24.969,1.073,0.717,2.2144,2.217,3.217,1,0
7.5000,24.5141,3.2395,4.101,3,24.969,1.073,0.717,2.2142,2.217,3.217,1,0
7.5030,24.5262,3.2418,4.100,3,24.969,1.073,0.717,2.2140,2.217,3.217,1,0
7.5060,24.5384,3.2441,4.098,3,24.969,1.073,0.717,2.2138,2.217,3.217,1,0
7.5090,24.5505,3.2464,4.097,3,24.969,1.073,0.717,2.2137,2.217,3.217,1,0
7.5120,24.5627,3.2486,4.096,3,24.969,1.073,0.717,2.2137,2.217,3.217,1,0
7.5150,24.5749,3.2508,4.096,3,24.969,1.073,0.717,2.2137,2.217,3.217,1,0
7.5180,24.5870,3.2531,4.096,3,24.969,1.073,0.717,2.2137,2.217,3.217,1,0
7.5210,24.5992,3.2552,4.096,3,24.969,1.073,0.717,2.2138,2.217,3.217,1,0
7.5240,24.6114,3.2575,4.094,3,24.969,1.073,0.717,2.2140,2.217,3.217,1,0
7.5270,24.6235,3.2596,4.082,3,24.969,1.073,0.717,2.2142,2.217,3.217,1,0
7.5300,24.6356,3.2618,4.075,3,24.969,1.073,0.717,2.2145,2.217,3.217,1,0
7.5330,24.6477,3.2639,4.079,3,24.969,1.073,0.717,2.2148,2.217,3.217,1,0
7.5360,24.6599,3.2661,4.097,3,24.969,1.073,0.717,2.2152,2.217,3.217,1,0
7.5390,24.6721,3.2682,4.094,3,24.969,1.073,0.717,2.2157,2.217,3.217,1,0
7.5420,24.6843,3.2703,4.095,3,24.969,1.073,0.717,2.2161,2.217,3.217,1,0
7.5450,24.6964,3.2724,4.096,3,24.969,1.073,0.717,2.2167,2.217,3.217,0,1
7.5480,24.7086,3.2745,4.098,3,24.969,1.073,0.717,2.2173,2.217,3.217,0,1
7.5510,24.7208,3.2766,4.096,3,24.969,1.073,0.717,2.2180,2.217,3.217,0,1
7.5540,24.7330,3.2786,4.101,3,24.969,1.073,0.717,2.2187,2.217,3.217,0,1
7.5570,24.7452,3.2807,4.101,3,24.969,1.073,0.717,2.2194,2.217,3.217,0,1
7.5600,24.7575,3.2827,4.101,3,24.969,1.073,0.717,2.2202,2.217,3.217,0,1
7.5630,24.7697,3.2847,4.100,3,24.969,1.073,0.717,2.2211,2.217,3.217,0,1
7.5660,24.7819,3.2866,4.097,3,24.969,1.073,0.717,2.2220,2.217,3.217,0,1
7.5690,24.7941,3.2886,4.097,3,24.969,1.073,0.717,2.2229,2.217,3.217,0,1
7.5720,24.8064,3.2905,4.097,3,24.969,1.073,0.717,2.2239,2.217,3.217,0,1
7.5750,24.8186,3.2924,4.098,3,24.969,1.073,0.717,2.2249,2.217,3.217,0,1
7.5780,24.8309,3.2943,4.100,3,24.969,1.073,0.717,2.2261,2.217,3.217,0,1
7.5810,24.8431,3.2962,4.099,3,24.969,1.073,0.717,2.2272,2.217,3.217,0,1
7.5840,24.8554,3.2981,4.101,3,24.969,1.073,0.717,2.2284,2.217,3.217,0,1
7.5870,24.8677,3.3000,4.100,3,24.969,1.073,0.717,2.2297,2.217,3.217,0,1
7.5900,24.8799,3.3018,4.102,3,24.969,1.073,0.717,2.2311,2.217,3.217,0,1
7.5930,24.8922,3.3037,4.105,3,24.969,1.073,0.717,2.2325,2.217,3.217,0,1
7.5960,24.9045,3.3056,4.108,3,24.969,1.073,0.717,2.2340,2.217,3.217,0,1
7.5990,24.9168,3.3075,4.110,3,24.969,1.073,0.717,2.2356,2.217,3.217,0,1
7.6020,24.9291,3.3095,4.112,3,24.969,1.073,0.717,2.2373,2.217,3.217,0,1
7.6050,24.9414,3.3114,4.115,3,24.969,1.073,0.717,2.2390,2.217,3.217,0,1
7.6080,24.9537,3.3133,4.118,3,24.969,1.073,0.717,2.2408,2.217,3.217,0,1
7.6110,24.9660,3.3152,4.120,3,24.969,1.073,0.717,2.2427,2.217,3.217,0,1
7.6140,24.9783,3.3171,4.123,3,24.969,1.073,0.717,2.2446,2.217,3.217,0,1
7.6170,24.9906,3.3191,4.126,3,24.969,1.073,0.717,2.2466,2.217,3.217,0,1
7.6200,25.0029,3.3210,4.128,3,24.969,1.073,0.717,2.2487,2.217,3.217,0,1
7.6230,25.0152,3.3229,4.125,3,24.969,1.073,0.717,2.2509,2.217,3.217,0,1
7.6260,25.0275,3.3248,4.118,3,24.969,1.073,0.717,2.2530,2.217,3.217,0,1
7.6290,25.0398,3.3267,4.126,3,24.969,1.073,0.717,2.2553,2.217,3.217,0,1
7.6320,25.0522,3.3286,4.131,3,24.969,1.073,0.717,2.2577,2.217,3.217,0,1
7.6350,25.0645,3.3306,4.131,3,24.969,1.073,0.717,2.2601,2.217,3.217,0,1
7.6380,25.0768,3.3325,4.131,3,24.969,1.073,0.717,2.2625,2.217,3.217,0,1
7.6410,25.0892,3.3343,4.131,3,24.969,1.073,0.717,2.2650,2.217,3.217,0,1
7.6440,25.1015,3.3362,4.130,3,24.969,1.073,0.717,2.2676,2.217,3.217,0,1
7.6470,25.1139,3.3381,4.135,3,24.969,1.073,0.717,2.2702,2.217,3.217,0,1
7.6500,25.1262,3.3399,4.132,3,24.969,1.073,0.717,2.2729,2.217,3.217,0,1
7.6530,25.1386,3.3418,4.136,3,24.969,1.073,0.717,2.2757,2.217,3.217,0,1
7.6560,25.1509,3.3437,4.137,3,24.969,1.073,0.717,2.2785,2.217,3.217,0,1
7.6590,25.1633,3.3456,4.137,3,24.969,1.073,0.717,2.2814,2.217,3.217,0,1
7.6620,25.1757,3.3475,4.139,3,24.969,1.073,0.717,2.2844,2.217,3.217,0,1
7.6650,25.1880,3.3494,4.142,3,24.969,1.073,0.717,2.2874,2.217,3.217,0,1
7.6680,25.2004,3.3513,4.143,3,24.969,1.073,0.717,2.2906,2.217,3.217,0,1
7.6710,25.2127,3.3533,4.146,3,24.969,1.073,0.717,2.2937,2.217,3.217,0,1
7.6740,25.2251,3.3552,4.149,3,24.969,1.073,0.717,2.2970,2.217,3.217,0,1
7.6770,25.2375,3.3571,4.151,3,24.969,1.073,0.717,2.3004,2.217,3.217,0,1
7.6800,25.2499,3.3591,4.152,3,24.969,1.073,0.717,2.3038,2.217,3.217,0,1
7.6830,25.2622,3.3610,4.154,3,24.969,1.073,0.717,2.3073,2.217,3.217,0,1
7.6860,25.2746,3.3630,4.154,3,24.969,1.073,0.717,2.3108,2.217,3.217,0,1
7.6890,25.2870,3.3650,4.157,3,24.969,1.073,0.717,2.3144,2.217,3.217,0,1
7.6920,25.2994,3.3670,4.158,3,24.969,1.073,0.717,2.3181,2.217,3.217,0,1
7.6950,25.3117,3.3689,4.161,3,24.969,1.073,0.717,2.3219,2.217,3.217,0,1
