time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.1170,19.4327,1.5084,4.182,2,21.760,-0.867,0.830,3.3255,2.330,3.330,0,1
6.1200,19.4444,1.5128,4.183,2,21.760,-0.867,0.830,3.3205,2.330,3.330,0,1
6.1230,19.4562,1.5173,4.184,2,21.760,-0.867,0.830,3.3155,2.330,3.330,0,1
6.1260,19.4680,1.5217,4.187,2,21.760,-0.867,0.830,3.3106,2.330,3.330,0,1
6.1290,19.4797,1.5262,4.186,2,21.760,-0.867,0.830,3.3057,2.330,3.330,0,1
6.1320,19.4915,1.5307,4.187,2,21.760,-0.867,0.830,3.3008,2.330,3.330,0,1
6.1350,19.5033,1.5352,4.187,2,21.760,-0.867,0.830,3.2960,2.330,3.330,0,1
6.1380,19.5151,1.5396,4.185,2,21.760,-0.867,0.830,3.2912,2.330,3.330,0,1
6.1410,19.5268,1.5441,4.192,2,21.760,-0.867,0.830,3.2864,2.330,3.330,0,1
6.1440,19.5386,1.5486,4.186,2,21.760,-0.867,0.830,3.2817,2.330,3.330,0,1
6.1470,19.5504,1.5530,4.183,2,21.760,-0.867,0.830,3.2771,2.330,3.330,0,1
6.1500,19.5622,1.5575,4.184,2,21.760,-0.867,0.830,3.2724,2.330,3.330,0,1
6.1530,19.5740,1.5620,4.189,2,21.760,-0.867,0.830,3.2679,2.330,3.330,0,1
6.1560,19.5857,1.5665,4.193,2,21.760,-0.867,0.830,3.2633,2.330,3.330,0,1
6.1590,19.5975,1.5710,4.193,2,21.760,-0.867,0.830,3.2589,2.330,3.330,0,1
6.1620,19.6093,1.5755,4.186,2,21.760,-0.867,0.830,3.2544,2.330,3.330,0,1
6.1650,19.6211,1.5800,4.192,2,21.760,-0.867,0.830,3.2501,2.330,3.330,0,1
6.1680,19.6329,1.5845,4.192,2,21.760,-0.867,0.830,3.2457,2.330,3.330,0,1
6.1710,19.6446,1.5890,4.193,2,21.760,-0.867,0.830,3.2415,2.330,3.330,0,1
6.1740,19.6564,1.5936,4.195,2,21.760,-0.867,0.830,3.2372,2.330,3.330,0,1
6.1770,19.6682,1.5981,4.196,2,21.760,-0.867,0.830,3.2331,2.330,3.330,0,1
6.1800,19.6800,1.6027,4.198,2,21.760,-0.867,0.830,3.2289,2.330,3.330,0,1
6.1830,19.6918,1.6072,4.199,2,21.760,-0.867,0.830,3.2248,2.330,3.330,0,1
6.1860,19.7036,1.6118,4.200,2,21.760,-0.867,0.830,3.2208,2.330,3.330,0,1
6.1890,19.7154,1.6163,4.204,2,21.760,-0.867,0.830,3.2168,2.330,3.330,0,1
6.1920,19.7271,1.6209,4.205,2,21.760,-0.867,0.830,3.2128,2.330,3.330,0,1
6.1950,19.7389,1.6254,4.206,2,21.760,-0.867,0.830,3.2089,2.330,3.330,0,1
6.1980,19.7508,1.6300,4.208,2,21.760,-0.867,0.830,3.2050,2.330,3.330,0,1
6.2010,19.7626,1.6345,4.207,2,21.760,-0.867,0.830,3.2012,2.330,3.330,0,1
6.2040,19.7744,1.6391,4.207,2,21.760,-0.867,0.830,3.1974,2.330,3.330,0,1
6.2070,19.7861,1.6436,4.205,2,21.760,-0.867,0.830,3.1936,2.330,3.330,0,1
6.2100,19.7980,1.6481,4.205,2,21.760,-0.867,0.830,3.1899,2.330,3.330,0,1
6.2130,19.8098,1.6526,4.204,2,21.760,-0.867,0.830,3.1862,2.330,3.330,0,1
6.2160,19.8216,1.6571,4.204,2,21.760,-0.867,0.830,3.1825,2.330,3.330,0,1
6.2190,19.8334,1.6615,4.203,2,21.760,-0.867,0.830,3.1789,2.330,3.330,0,1
6.2220,19.8452,1.6660,4.203,2,21.760,-0.867,0.830,3.1753,2.330,3.330,0,1
6.2250,19.8570,1.6704,4.203,2,21.760,-0.867,0.830,3.1717,2.330,3.330,0,1
6.2280,19.8688,1.6748,4.202,2,21.760,-0.867,0.830,3.1682,2.330,3.330,0,1
6.2310,19.8806,1.6792,4.201,2,21.760,-0.867,0.830,3.1647,2.330,3.330,0,1
6.2340,19.8924,1.6836,4.200,2,21.760,-0.867,0.830,3.1612,2.330,3.330,0,1
6.2370,19.9043,1.6880,4.200,2,21.760,-0.867,0.830,3.1578,2.330,3.330,0,1
6.2400,19.9161,1.6923,4.198,2,21.760,-0.867,0.830,3.1544,2.330,3.330,0,1
6.2430,19.9279,1.6967,4.197,2,21.760,-0.867,0.830,3.1510,2.330,3.330,0,1
6.2460,19.9397,1.7010,4.197,2,21.760,-0.867,0.830,3.1477,2.330,3.330,0,1
6.2490,19.9516,1.7053,4.195,2,21.760,-0.867,0.830,3.1444,2.330,3.330,0,1
6.2520,19.9634,1.7096,4.194,2,21.760,-0.867,0.830,3.1411,2.330,3.330,0,1
6.2550,19.9752,1.7139,4.193,2,21.760,-0.867,0.830,3.1379,2.330,3.330,0,1
6.2580,19.9871,1.7182,4.192,2,21.760,-0.867,0.830,3.1347,2.330,3.330,0,1
6.2610,19.9989,1.7224,4.191,2,21.760,-0.867,0.830,3.1315,2.330,3.330,0,1
6.2640,20.0108,1.7267,4.191,2,21.760,-0.867,0.830,3.1284,2.330,3.330,0,1
6.2670,20.0226,1.7309,4.190,2,21.760,-0.867,0.830,3.1253,2.330,3.330,0,1
6.2700,20.0345,1.7351,4.189,2,21.760,-0.867,0.830,3.1222,2.330,3.330,0,1
6.2730,20.0463,1.7393,4.188,2,21.760,-0.867,0.830,3.1192,2.330,3.330,0,1
6.2760,20.0582,1.7434,4.186,2,21.760,-0.867,0.830,3.1162,2.330,3.330,0,1
6.2790,20.0700,1.7476,4.186,2,21.760,-0.867,0.830,3.1132,2.330,3.330,0,1
6.2820,20.0819,1.7517,4.184,2,21.760,-0.867,0.830,3.1103,2.330,3.330,0,1
6.2850,20.0937,1.7558,4.183,2,21.760,-0.867,0.830,3.1073,2.330,3.330,0,1
6.2880,20.1056,1.7599,4.180,2,21.760,-0.867,0.830,3.1045,2.330,3.330,0,1
6.2910,20.1174,1.7640,4.181,2,21.760,-0.867,0.830,3.1016,2.330,3.330,0,1
6.2940,20.1293,1.7681,4.179,2,21.760,-0.867,0.830,3.0988,2.330,3.330,0,1
6.2970,20.1412,1.7722,4.178,2,21.760,-0.867,0.830,3.0961,2.330,3.330,0,1
6.3000,20.1530,1.7762,4.175,2,21.760,-0.867,0.830,3.0933,2.330,3.330,0,1
6.3030,20.1649,1.7802,4.174,2,21.760,-0.867,0.830,3.0906,2.330,3.330,0,1
6.3060,20.1767,1.7842,4.172,2,21.760,-0.867,0.830,3.0880,2.330,3.330,0,1
6.3090,20.1886,1.7882,4.170,2,21.760,-0.867,0.830,3.0853,2.330,3.330,0,1
6.3120,20.2005,1.7922,4.169,2,21.760,-0.867,0.830,3.0827,2.330,3.330,0,1
6.3150,20.2123,1.7962,4.167,2,21.760,-0.867,0.830,3.0802,2.330,3.330,0,1
6.3180,20.2242,1.8001,4.165,2,21.760,-0.867,0.830,3.0777,2.330,3.330,0,1
6.3210,20.2361,1.8041,4.165,2,21.760,-0.867,0.830,3.0752,2.330,3.330,0,1
6.3240,20.2479,1.8080,4.164,2,21.760,-0.867,0.830,3.0727,2.330,3.330,0,1
6.3270,20.2598,1.8119,4.161,2,21.760,-0.867,0.830,3.0703,2.330,3.330,0,1
6.3300,20.2717,1.8158,4.160,2,21.760,-0.867,0.830,3.0679,2.330,3.330,0,1
6.3330,20.2835,1.8197,4.158,2,21.760,-0.867,0.830,3.0656,2.330,3.330,0,1
6.3360,20.2954,1.8235,4.154,2,21.760,-0.867,0.830,3.0633,2.330,3.330,0,1
6.3390,20.3072,1.8274,4.154,2,21.760,-0.867,0.830,3.0610,2.330,3.330,0,1
6.3420,20.3191,1.8312,4.161,2,21.760,-0.867,0.830,3.0587,2.330,3.330,0,1
6.3450,20.3310,1.8350,4.149,2,21.760,-0.867,0.830,3.0565,2.330,3.330,0,1
6.3480,20.3429,1.8387,4.148,2,21.760,-0.867,0.830,3.0543,2.330,3.330,0,1
6.3510,20.3547,1.8425,4.147,2,21.760,-0.867,0.830,3.0521,2.330,3.330,0,1
6.3540,20.3666,1.8462,4.147,2,21.760,-0.867,0.830,3.0500,2.330,3.330,0,1
6.3570,20.3785,1.8499,4.147,2,21.760,-0.867,0.830,3.0479,2.330,3.330,0,1
6.3600,20.3904,1.8536,4.146,2,21.760,-0.867,0.830,3.0458,2.330,3.330,0,1
6.3630,20.4023,1.8573,4.145,2,21.760,-0.867,0.830,3.0438,2.330,3.330,0,1
6.3660,20.4141,1.8610,4.144,2,21.760,-0.867,0.830,3.0418,2.330,3.330,0,1
6.3690,20.4260,1.8646,4.143,2,21.760,-0.867,0.830,3.0398,2.330,3.330,0,1
6.3720,20.4379,1.8683,4.142,2,21.760,-0.867,0.830,3.0379,2.330,3.330,0,1
6.3750,20.4498,1.8719,4.140,2,21.760,-0.867,0.830,3.0360,2.330,3.330,0,1
6.3780,20.4617,1.8755,4.139,2,21.760,-0.867,0.830,3.0342,2.330,3.330,0,1
6.3810,20.4736,1.8791,4.138,2,21.760,-0.867,0.830,3.0324,2.330,3.330,0,1
6.3840,20.4855,1.8827,4.138,2,21.760,-0.867,0.830,3.0306,2.330,3.330,0,1
6.3870,20.4974,1.8863,4.135,2,21.760,-0.867,0.830,3.0289,2.330,3.330,0,1
6.3900,20.5093,1.8898,4.136,2,21.760,-0.867,0.830,3.0272,2.330,3.330,0,1
6.3930,20.5212,1.8934,4.134,2,21.760,-0.867,0.830,3.0255,2.330,3.330,0,1
6.3960,20.5331,1.8969,4.133,2,21.760,-0.867,0.830,3.0239,2.330,3.330,0,1
6.3990,20.5450,1.9004,4.132,2,21.760,-0.867,0.830,3.0223,2.330,3.330,0,1
6.4020,20.5569,1.9039,4.132,2,21.760,-0.867,0.830,3.0207,2.330,3.330,0,1
6.4050,20.5688,1.9074,4.131,2,21.760,-0.867,0.830,3.0192,2.330,3.330,0,1
6.4080,20.5808,1.9109,4.132,2,21.760,-0.867,0.830,3.0177,2.330,3.330,0,1
6.4110,20.5927,1.9143,4.129,2,21.760,-0.867,0.830,3.0163,2.330,3.330,0,1
6.4140,20.6046,1.9178,4.127,2,21.760,-0.867,0.830,3.0148,2.330,3.330,0,1
6.4170,20.6165,1.9212,4.126,2,21.760,-0.867,0.830,3.0134,2.330,3.330,0,1
6.4200,20.6284,1.9246,4.125,2,21.760,-0.867,0.830,3.0121,2.330,3.330,0,1
6.4230,20.6404,1.9279,4.124,2,21.760,-0.867,0.830,3.0107,2.330,3.330,0,1
6.4260,20.6523,1.9313,4.124,2,21.760,-0.867,0.830,3.0094,2.330,3.330,0,1
6.4290,20.6642,1.9346,4.124,2,21.760,-0.867,0.830,3.0082,2.330,3.330,0,1
6.4320,20.6762,1.9380,4.123,2,21.760,-0.867,0.830,3.0070,2.330,3.330,0,1
6.4350,20.6881,1.9413,4.122,2,21.760,-0.867,0.830,3.0058,2.330,3.330,0,1
6.4380,20.7001,1.9446,4.127,2,21.760,-0.867,0.830,3.0046,2.330,3.330,0,1
6.4410,20.7121,1.9479,4.135,2,21.760,-0.867,0.830,3.0035,2.330,3.330,0,1
6.4440,20.7240,1.9511,4.122,2,21.760,-0.867,0.830,3.0024,2.330,3.330,0,1
6.4470,20.7360,1.9544,4.122,2,21.760,-0.867,0.830,3.0014,2.330,3.330,0,1
6.4500,20.7479,1.9577,4.122,2,21.760,-0.867,0.830,3.0004,2.330,3.330,0,1
6.4530,20.7599,1.9610,4.123,2,21.760,-0.867,0.830,2.9995,2.330,3.330,0,1
6.4560,20.7719,1.9642,4.127,2,21.760,-0.867,0.830,2.9986,2.330,3.330,0,1
6.4590,20.7839,1.9675,4.125,2,21.760,-0.867,0.830,2.9978,2.330,3.330,0,1
6.4620,20.7958,1.9708,4.121,2,21.760,-0.867,0.830,2.9970,2.330,3.330,0,1
6.4650,20.8077,1.9740,4.119,2,21.760,-0.867,0.830,2.9962,2.330,3.330,0,1
6.4680,20.8197,1.9773,4.116,2,21.760,-0.867,0.830,2.9955,2.330,3.330,0,1
6.4710,20.8316,1.9805,4.116,2,21.760,-0.867,0.830,2.9949,2.330,3.330,0,1
6.4740,20.8436,1.9837,4.117,2,21.760,-0.867,0.830,2.9942,2.330,3.330,0,1
6.4770,20.8555,1.9869,4.113,2,21.760,-0.867,0.830,2.9936,2.330,3.330,0,1
6.4800,20.8675,1.9900,4.112,2,21.760,-0.867,0.830,2.9931,2.330,3.330,0,1
6.4830,20.8794,1.9932,4.110,2,21.760,-0.867,0.830,2.9925,2.330,3.330,0,1
6.4860,20.8914,1.9963,4.110,2,21.760,-0.867,0.830,2.9920,2.330,3.330,0,1
6.4890,20.9034,1.9994,4.109,2,21.760,-0.867,0.830,2.9915,2.330,3.330,0,1
6.4920,20.9153,2.0025,4.107,2,21.760,-0.867,0.830,2.9911,2.330,3.330,0,1
6.4950,20.9273,2.0055,4.106,2,21.760,-0.867,0.830,2.9907,2.330,3.330,0,1
6.4980,20.9392,2.0086,4.105,2,21.760,-0.867,0.830,2.9903,2.330,3.330,0,1
6.5010,20.9512,2.0116,4.104,2,21.760,-0.867,0.830,2.9899,2.330,3.330,0,1
6.5040,20.9632,2.0146,4.105,2,21.760,-0.867,0.830,2.9896,2.330,3.330,0,1
6.5070,20.9752,2.0176,4.103,2,21.760,-0.867,0.830,2.9893,2.330,3.330,0,1
6.5100,20.9871,2.0205,4.102,2,21.760,-0.867,0.830,2.9890,2.330,3.330,0,1
6.5130,20.9991,2.0235,4.101,2,21.760,-0.867,0.830,2.9888,2.330,3.330,0,1
6.5160,21.0111,2.0264,4.100,2,21.760,-0.867,0.830,2.9886,2.330,3.330,0,1
6.5190,21.0231,2.0293,4.099,2,21.760,-0.867,0.830,2.9884,2.330,3.330,0,1
6.5220,21.0351,2.0321,4.099,2,21.760,-0.867,0.830,2.9882,2.330,3.330,0,1
6.5250,21.0471,2.0350,4.100,2,21.760,-0.867,0.830,2.9881,2.330,3.330,0,1
6.5280,21.0591,2.0378,4.100,2,21.760,-0.867,0.830,2.9880,2.330,3.330,0,1
6.5310,21.0711,2.0406,4.100,2,21.760,-0.867,0.830,2.9879,2.330,3.330,0,1
6.5340,21.0831,2.0434,4.100,2,21.760,-0.867,0.830,2.9879,2.330,3.330,0,1
6.5370,21.0951,2.0462,4.101,2,21.760,-0.867,0.830,2.9879,2.330,3.330,0,1
6.5400,21.1070,2.0489,4.067,2,21.760,-0.867,0.830,2.9879,2.330,3.330,0,1
6.5430,21.1190,2.0516,4.093,2,21.760,-0.867,0.830,2.9880,2.330,3.330,0,1
6.5460,21.1310,2.0544,4.089,2,21.760,-0.867,0.830,2.9881,2.330,3.330,0,1
6.5490,21.1430,2.0571,4.086,2,21.760,-0.867,0.830,2.9883,2.330,3.330,0,1
6.5520,21.1550,2.0598,4.089,2,21.760,-0.867,0.830,2.9885,2.330,3.330,0,1
6.5550,21.1670,2.0624,4.093,2,21.760,-0.867,0.830,2.9887,2.330,3.330,0,1
6.5580,21.1790,2.0651,4.094,2,21.760,-0.867,0.830,2.9889,2.330,3.330,0,1
6.5610,21.1910,2.0677,4.096,2,21.760,-0.867,0.830,2.9891,2.330,3.330,0,1
6.5640,21.2031,2.0703,4.096,2,21.760,-0.867,0.830,2.9894,2.330,3.330,0,1
6.5670,21.2151,2.0729,4.094,2,21.760,-0.867,0.830,2.9898,2.330,3.330,0,1
6.5700,21.2271,2.0754,4.095,2,21.760,-0.867,0.830,2.9901,2.330,3.330,0,1
6.5730,21.2392,2.0780,4.095,2,21.760,-0.867,0.830,2.9905,2.330,3.330,0,1
6.5760,21.2512,2.0805,4.097,2,21.760,-0.867,0.830,2.9909,2.330,3.330,0,1
6.5790,21.2633,2.0830,4.096,2,21.760,-0.867,0.830,2.9913,2.330,3.330,0,1
6.5820,21.2754,2.0855,4.098,2,21.760,-0.867,0.830,2.9918,2.330,3.330,0,1
6.5850,21.2874,2.0879,4.099,2,21.760,-0.867,0.830,2.9923,2.330,3.330,0,1
6.5880,21.2995,2.0904,4.101,2,21.760,-0.867,0.830,2.9929,2.330,3.330,0,1
6.5910,21.3116,2.0929,4.102,2,21.760,-0.867,0.830,2.9935,2.330,3.330,0,1
6.5940,21.3237,2.0953,4.102,2,21.760,-0.867,0.830,2.9941,2.330,3.330,0,1
6.5970,21.3358,2.0978,4.100,2,21.760,-0.867,0.830,2.9948,2.330,3.330,0,1
6.6000,21.3479,2.1003,4.101,2,21.760,-0.867,0.830,2.9956,2.330,3.330,0,1
6.6030,21.3600,2.1028,4.103,2,21.760,-0.867,0.830,2.9964,2.330,3.330,0,1
6.6060,21.3720,2.1052,4.105,2,21.760,-0.867,0.830,2.9972,2.330,3.330,0,1
6.6090,21.3841,2.1077,4.107,2,21.760,-0.867,0.830,2.9982,2.330,3.330,0,1
6.6120,21.3962,2.1102,4.109,2,21.760,-0.867,0.830,2.9991,2.330,3.330,0,1
6.6150,21.4084,2.1127,4.112,2,21.760,-0.867,0.830,3.0002,2.330,3.330,0,1
6.6180,21.4205,2.1152,4.113,2,21.760,-0.867,0.830,3.0013,2.330,3.330,0,1
6.6210,21.4326,2.1177,4.115,2,21.760,-0.867,0.830,3.0024,2.330,3.330,0,1
6.6240,21.4447,2.1202,4.119,2,21.760,-0.867,0.830,3.0036,2.330,3.330,0,1
6.6270,21.4568,2.1227,4.122,2,21.760,-0.867,0.830,3.0049,2.330,3.330,0,1
6.6300,21.4689,2.1253,4.125,2,21.760,-0.867,0.830,3.0062,2.330,3.330,0,1
6.6330,21.4811,2.1278,4.125,2,21.760,-0.867,0.830,3.0075,2.330,3.330,0,1
6.6360,21.4932,2.1303,4.130,2,21.760,-0.867,0.830,3.0089,2.330,3.330,0,1
6.6390,21.5054,2.1328,4.136,2,21.760,-0.867,0.830,3.0104,2.330,3.330,0,1
6.6420,21.5175,2.1353,4.131,2,21.760,-0.867,0.830,3.0119,2.330,3.330,0,1
6.6450,21.5297,2.1379,4.129,2,21.760,-0.867,0.830,3.0134,2.330,3.330,0,1
6.6480,21.5419,2.1404,4.135,2,21.760,-0.867,0.830,3.0151,2.330,3.330,0,1
6.6510,21.5540,2.1429,4.140,2,21.760,-0.867,0.830,3.0167,2.330,3.330,0,1
6.6540,21.5662,2.1455,4.140,2,21.760,-0.867,0.830,3.0185,2.330,3.330,0,1
6.6570,21.5784,2.1480,4.144,2,21.760,-0.867,0.830,3.0202,2.330,3.330,0,1
6.6600,21.5905,2.1505,4.142,2,21.760,-0.867,0.830,3.0220,2.330,3.330,0,1
6.6630,21.6027,2.1530,4.143,2,21.760,-0.867,0.830,3.0239,2.330,3.330,0,1
6.6660,21.6149,2.1555,4.145,2,21.760,-0.867,0.830,3.0258,2.330,3.330,0,1
6.6690,21.6271,2.1580,4.148,2,21.760,-0.867,0.830,3.0277,2.330,3.330,0,1
6.6720,21.6393,2.1605,4.150,2,21.760,-0.867,0.830,3.0296,2.330,3.330,0,1
6.6750,21.6515,2.1629,4.152,2,21.760,-0.867,0.830,3.0316,2.330,3.330,0,1
6.6780,21.6638,2.1653,4.153,2,21.760,-0.867,0.830,3.0336,2.330,3.330,0,1
6.6810,21.6760,2.1678,4.154,2,21.760,-0.867,0.830,3.0357,2.330,3.330,0,1
6.6840,21.6882,2.1702,4.157,2,21.760,-0.867,0.830,3.0378,2.330,3.330,0,1
6.6870,21.7005,2.1726,4.158,2,21.760,-0.867,0.830,3.0399,2.330,3.330,0,1
6.6900,21.7127,2.1750,4.160,2,21.760,-0.867,0.830,3.0421,2.330,3.330,0,1
6.6930,21.7250,2.1773,4.161,2,21.760,-0.867,0.830,3.0443,2.330,3.330,0,1
6.6960,21.7373,2.1797,4.161,2,21.760,-0.867,0.830,3.0465,2.330,3.330,0,1
6.6990,21.7495,2.1820,4.162,2,21.760,-0.867,0.830,3.0488,2.330,3.330,0,1
6.7020,21.7618,2.1844,4.162,2,21.760,-0.867,0.830,3.0511,2.330,3.330,0,1
6.7050,21.7741,2.1867,4.164,2,21.760,-0.867,0.830,3.0535,2.330,3.330,0,1
6.7080,21.7864,2.1890,4.165,2,21.760,-0.867,0.830,3.0559,2.330,3.330,0,1
6.7110,21.7987,2.1913,4.167,2,21.760,-0.867,0.830,3.0583,2.330,3.330,0,1
6.7140,21.8110,2.1936,4.168,2,21.760,-0.867,0.830,3.0608,2.330,3.330,0,1
6.7170,21.8233,2.1959,4.168,2,21.760,-0.867,0.830,3.0633,2.330,3.330,0,1
6.7200,21.8357,2.1982,4.169,2,21.760,-0.867,0.830,3.0659,2.330,3.330,0,1
6.7230,21.8480,2.2005,4.172,2,21.760,-0.867,0.830,3.0685,2.330,3.330,0,1
6.7260,21.8603,2.2028,4.173,2,21.760,-0.867,0.830,3.0712,2.330,3.330,0,1
6.7290,21.8727,2.2051,4.175,2,21.760,-0.867,0.830,3.0739,2.330,3.330,0,1
6.7320,21.8850,2.2074,4.176,2,21.760,-0.867,0.830,3.0766,2.330,3.330,0,1
6.7350,21.8974,2.2096,4.178,2,21.760,-0.867,0.830,3.0794,2.330,3.330,0,1
6.7380,21.9097,2.2119,4.179,2,21.760,-0.867,0.830,3.0823,2.330,3.330,0,1
6.7410,21.9221,2.2142,4.180,2,21.760,-0.867,0.830,3.0852,2.330,3.330,0,1
6.7440,21.9344,2.2164,4.182,2,21.760,-0.867,0.830,3.0881,2.330,3.330,0,1
6.7470,21.9468,2.2187,4.180,2,21.760,-0.867,0.830,3.0910,2.330,3.330,0,1
6.7500,21.9592,2.2209,4.181,2,21.760,-0.867,0.830,3.0940,2.330,3.330,0,1
6.7530,21.9716,2.2231,4.182,2,21.760,-0.867,0.830,3.0971,2.330,3.330,0,1
6.7560,21.9839,2.2254,4.181,2,21.760,-0.867,0.830,3.1002,2.330,3.330,0,1
6.7590,21.9963,2.2276,4.184,2,21.760,-0.867,0.830,3.1033,2.330,3.330,0,1
6.7620,22.0087,2.2298,4.185,2,21.760,-0.867,0.830,3.1065,2.330,3.330,0,1
6.7650,22.0211,2.2320,4.186,2,21.760,-0.867,0.830,3.1097,2.330,3.330,0,1
6.7680,22.0335,2.2343,4.185,2,21.760,-0.867,0.830,3.1130,2.330,3.330,0,1
6.7710,22.0459,2.2365,4.184,2,21.760,-0.867,0.830,3.1163,2.330,3.330,0,1
6.7740,22.0583,2.2387,4.185,2,21.760,-0.867,0.830,3.1197,2.330,3.330,0,1
6.7770,22.0707,2.2409,4.186,2,21.760,-0.867,0.830,3.1231,2.330,3.330,0,1
6.7800,22.0831,2.2431,4.189,2,21.760,-0.867,0.830,3.1266,2.330,3.330,0,1
6.7830,22.0955,2.2453,4.191,2,21.760,-0.867,0.830,3.1301,2.330,3.330,0,1
6.7860,22.1079,2.2476,4.191,2,21.760,-0.867,0.830,3.1336,2.330,3.330,0,1
6.7890,22.1203,2.2498,4.193,2,21.760,-0.867,0.830,3.1372,2.330,3.330,0,1
6.7920,22.1327,2.2520,4.195,2,21.760,-0.867,0.830,3.1409,2.330,3.330,0,1
6.7950,22.1451,2.2542,4.197,2,21.760,-0.867,0.830,3.1446,2.330,3.330,0,1
6.7980,22.1576,2.2564,4.200,2,21.760,-0.867,0.830,3.1483,2.330,3.330,0,1
6.8010,22.1700,2.2587,4.202,2,21.760,-0.867,0.830,3.1521,2.330,3.330,0,1
6.8040,22.1825,2.2609,4.204,2,21.760,-0.867,0.830,3.1560,2.330,3.330,0,1
6.8070,22.1949,2.2631,4.205,2,21.760,-0.867,0.830,3.1599,2.330,3.330,0,1
6.8100,22.2073,2.2653,4.206,2,21.760,-0.867,0.830,3.1638,2.330,3.330,0,1
6.8130,22.2198,2.2675,4.208,2,21.760,-0.867,0.830,3.1678,2.330,3.330,0,1
6.8160,22.2322,2.2697,4.209,2,21.760,-0.867,0.830,3.1718,2.330,3.330,0,1
6.8190,22.2447,2.2719,4.211,2,21.760,-0.867,0.830,3.1758,2.330,3.330,0,1
6.8220,22.2572,2.2741,4.211,2,21.760,-0.867,0.830,3.1799,2.330,3.330,0,1
6.8250,22.2696,2.2763,4.212,2,21.760,-0.867,0.830,3.1841,2.330,3.330,0,1
6.8280,22.2821,2.2785,4.214,2,21.760,-0.867,0.830,3.1882,2.330,3.330,0,1
6.8310,22.2945,2.2807,4.212,2,21.760,-0.867,0.830,3.1925,2.330,3.330,0,1
6.8340,22.3070,2.2829,4.214,2,21.760,-0.867,0.830,3.1968,2.330,3.330,0,1
6.8370,22.3195,2.2851,4.215,2,21.760,-0.867,0.830,3.2011,2.330,3.330,0,1
6.8400,22.3320,2.2873,4.215,2,21.760,-0.867,0.830,3.2054,2.330,3.330,0,1
6.8430,22.3444,2.2895,4.217,2,21.760,-0.867,0.830,3.2098,2.330,3.330,0,1
6.8460,22.3569,2.2917,4.218,2,21.760,-0.867,0.830,3.2143,2.330,3.330,0,1
6.8490,22.3694,2.2938,4.217,2,21.760,-0.867,0.830,3.2187,2.330,3.330,0,1
6.8520,22.3819,2.2960,4.218,2,21.760,-0.867,0.830,3.2232,2.330,3.330,0,1
6.8550,22.3944,2.2982,4.218,2,21.760,-0.867,0.830,3.2278,2.330,3.330,0,1
6.8580,22.4069,2.3003,4.220,2,21.760,-0.867,0.830,3.2324,2.330,3.330,0,1
6.8610,22.4194,2.3025,4.220,2,21.760,-0.867,0.830,3.2370,2.330,3.330,0,1
6.8640,22.4319,2.3046,4.220,2,21.760,-0.867,0.830,3.2417,2.330,3.330,0,1
6.8670,22.4444,2.3068,4.219,2,21.760,-0.867,0.830,3.2464,2.330,3.330,0,1
6.8700,22.4569,2.3089,4.221,2,21.760,-0.867,0.830,3.2512,2.330,3.330,0,1
6.8730,22.4694,2.3111,4.221,2,21.760,-0.867,0.830,3.2560,2.330,3.330,0,1
6.8760,22.4819,2.3133,4.222,2,21.760,-0.867,0.830,3.2608,2.330,3.330,0,1
6.8790,22.4945,2.3154,4.222,2,21.760,-0.867,0.830,3.2657,2.330,3.330,0,1
6.8820,22.5070,2.3176,4.223,2,21.760,-0.867,0.830,3.2707,2.330,3.330,0,1
6.8850,22.5195,2.3197,4.224,2,21.760,-0.867,0.830,3.2757,2.330,3.330,0,1
6.8880,22.5320,2.3219,4.225,2,21.760,-0.867,0.830,3.2807,2.330,3.330,0,1
6.8910,22.5445,2.3241,4.226,2,21.760,-0.867,0.830,3.2858,2.330,3.330,0,1
6.8940,22.5571,2.3262,4.225,2,21.760,-0.867,0.830,3.2909,2.330,3.330,0,1
6.8970,22.5696,2.3284,4.226,1,25.052,0.795,0.418,2.9178,1.918,2.918,0,1
6.8970,22.5696,2.3284,4.226,2,21.760,-0.867,0.830,3.2960,2.330,3.330,0,1
