sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778824575.202964,0,1.610300,-0.006194,-0.002327,0.0630,0.0003,0.001034,1.648994,-0.000000,-0.000000,-0.0020,1.613043,-0.006190,-0.002323,0.0579,0.0000,0.000000,-0.111421,0.0000,1.613043,0.000000,0.000000,5.0000,0.000000,2.000000,3412.6483,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0717,0.0000,0.000000,0.2000,17.70,8.91,44.31,2.75,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-516.6972411869311,348.19602436273703,-0.003948,0.002879,6560.2,6060.4,-0.049196,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778824575.206886,1,1.683073,-0.020405,0.006609,0.0415,-0.0030,-0.000561,1.648913,-0.000001,-0.000000,-0.0094,1.685318,-0.020388,0.006612,0.0565,-0.0000,-0.000000,-0.020358,0.0000,1.685318,0.000000,-0.000000,5.0000,0.000000,2.000000,3036.0857,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0779,0.0000,0.000000,0.2240,15.11,8.12,38.34,3.63,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-219.6445731052474,380.5057954355601,-0.001666,0.003123,6556.9,6063.6,-0.043548,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778824575.218904,2,1.714585,-0.052886,-0.003176,0.0019,-0.0122,-0.000587,1.648775,-0.000002,-0.000001,-0.0124,1.716174,-0.052909,-0.003174,0.0462,-0.0000,-0.000001,-0.011463,0.0000,1.716174,0.000000,-0.000000,5.0000,0.000000,2.000000,3034.2012,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0849,0.0000,0.000000,0.2480,12.92,7.34,33.18,2.91,-0.000002,-0.0001,-5.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,497.378022593695,841.494332679297,0.003746,0.006858,6552.1,6068.5,-0.035051,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778824575.230949,3,1.579515,-0.052069,0.011404,-0.0175,-0.0092,0.000721,1.648627,-0.000004,-0.000003,-0.0120,1.580635,-0.052084,0.011405,0.0378,-0.0001,-0.000004,0.003864,0.0000,1.580635,0.000000,0.000000,5.0000,0.000000,2.000000,3029.8905,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0925,0.0000,0.000000,0.2720,11.06,6.66,28.79,2.84,-0.000004,-0.0002,-5.0120,nan,nan,nan,nan,nan,nan,0.0,0.0,820.2499289620556,1182.1172457321657,0.006143,0.009574,6545.9,6074.7,-0.024311,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778824575.242926,4,1.626497,0.057479,0.001500,-0.0566,-0.0075,0.000970,1.648492,-0.000007,-0.000005,-0.0105,1.627291,0.057448,0.001502,0.0311,-0.0002,-0.000006,0.024790,0.0000,1.627291,0.000000,0.000000,5.0000,0.000000,2.000000,3024.5463,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1008,0.0000,0.000000,0.2960,9.48,6.11,25.07,2.99,-0.000007,-0.0003,-5.0105,nan,nan,nan,nan,nan,nan,0.0,0.0,974.455810359513,1398.8808801300781,0.007271,0.011278,6538.7,6081.9,-0.011681,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778824575.254905,5,1.575297,-0.062030,-0.005620,0.0189,0.0336,0.000319,1.648464,-0.000003,-0.000003,0.0010,1.575953,-0.062008,-0.005617,0.0301,0.0002,0.000011,0.082660,0.0000,1.575953,0.000000,0.000000,5.0000,0.000000,2.000000,3010.0813,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1098,0.0000,0.000000,0.3200,8.13,5.62,21.89,2.84,-0.000003,-0.0002,-4.9990,nan,nan,nan,nan,nan,nan,0.0,0.0,-979.428006098758,-462.97818220773195,-0.007340,-0.003701,6522.4,6098.2,0.016737,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778824575.266873,6,1.673695,-0.015779,-0.001173,-0.0340,0.0477,-0.000093,1.648468,0.000001,-0.000000,0.0001,1.674163,-0.015689,-0.001170,0.0248,0.0010,0.000043,0.100804,0.0000,1.674163,0.000000,-0.000000,5.0000,0.000000,2.000000,3004.8553,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1194,0.0000,0.000000,0.3440,6.98,5.20,19.16,2.80,0.000001,-0.0000,-4.9999,nan,nan,nan,nan,nan,nan,0.0,0.0,-3114.1703511157325,-2601.1041620654555,-0.024337,-0.021522,6516.4,6104.2,0.027214,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778824575.278901,7,1.648400,0.054544,-0.004277,-0.0897,-0.0817,0.001052,1.648453,0.000007,0.000003,-0.0009,1.648735,0.054498,-0.004276,0.0204,-0.0008,-0.000015,0.115777,0.0000,1.648735,0.000000,0.000000,5.0000,0.000000,2.000000,3001.8186,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1295,0.0000,0.000000,0.3680,6.01,4.84,16.86,2.83,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,1486.7303352936335,1827.1328578946222,0.011363,0.014978,6511.4,6109.2,0.035915,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778824575.290851,8,1.629082,0.050812,-0.002424,-0.0395,-0.0199,0.001337,1.648434,0.000014,0.000007,-0.0008,1.629324,0.050752,-0.002422,0.0169,-0.0014,-0.000027,0.133216,0.0000,1.629324,0.000000,0.000000,5.0000,0.000000,2.000000,2997.6934,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1402,0.0000,0.000000,0.3920,5.18,4.55,14.90,2.85,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,2058.9309520181346,2465.314807142049,0.016044,0.020667,6505.9,6114.6,0.045401,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778824575.302935,9,1.725548,0.038492,0.003885,-0.0384,0.0160,0.000989,1.648415,0.000021,0.000011,-0.0007,1.725725,0.038469,0.003888,0.0140,-0.0008,0.000004,0.151006,0.0000,1.725725,0.000000,-0.000000,5.0000,0.000000,2.000000,2993.4817,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1515,0.0000,0.000000,0.4160,4.48,4.29,13.25,2.83,0.000021,0.0006,-5.0007,0.008000,0.076902,0.3516,-0.487850,-0.004270,0.000041,0.0,0.0,787.7040704198059,1337.848770962761,0.006130,0.011123,6500.6,6120.0,0.054749,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778824575.314878,10,1.663858,-0.006258,-0.002727,0.0370,0.0580,-0.000520,1.648397,0.000028,0.000015,-0.0006,1.664074,-0.006206,-0.002724,0.0188,0.0018,0.000089,0.169246,0.0000,1.664074,0.000000,-0.000000,5.0000,0.000000,2.000000,2989.0944,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1632,0.0000,0.000000,0.4400,3.88,4.07,11.83,2.82,0.000028,0.0008,-5.0006,0.008000,0.073005,-0.5351,-0.491008,0.007767,0.000482,0.0,0.0,-2137.7430371908563,-1633.1192608448316,-0.017198,-0.013836,6495.2,6125.4,0.064088,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778824575.326904,11,1.717128,-0.065438,-0.004326,-0.0147,-0.0010,0.000352,1.648380,0.000035,0.000018,-0.0005,1.717286,-0.065399,-0.004324,0.0156,0.0016,0.000088,0.186675,0.0000,1.717286,0.000000,-0.000000,5.0000,0.000000,2.000000,2986.2141,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1754,0.0000,0.000000,0.4640,3.37,3.88,10.62,2.80,0.000035,0.0011,-5.0005,0.008000,0.050850,-0.0662,-0.495180,0.006003,0.000351,0.0,0.0,-1682.5297425168988,-1228.27488260875,-0.013681,-0.010520,6490.2,6130.4,0.072874,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778824575.338887,12,1.753120,-0.092771,-0.001754,-0.0010,0.0331,0.000164,1.648364,0.000043,0.000023,-0.0004,1.753237,-0.092704,-0.001751,0.0129,0.0034,0.000139,0.204625,0.0000,1.753237,-0.000000,-0.000000,5.0000,0.000000,2.000000,2983.2133,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1881,0.0000,0.000000,0.4880,2.94,3.72,9.60,2.82,0.000043,0.0013,-5.0004,0.008000,0.128917,-0.7541,-0.499359,0.011301,0.000301,0.0,0.0,-2812.731525267553,-2373.4834828471926,-0.023947,-0.021190,6485.1,6135.5,0.081734,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778824575.350885,13,1.712652,-0.032627,-0.006516,-0.0278,0.0820,0.001171,1.648349,0.000051,0.000027,-0.0003,1.712740,-0.032487,-0.006512,0.0108,0.0083,0.000297,0.222002,0.0000,1.712740,0.000000,-0.000000,5.0000,0.000000,2.000000,2978.1061,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2012,0.0000,0.000000,0.5120,2.57,3.62,8.76,3.06,0.000051,0.0015,-5.0003,0.008000,0.096638,-0.4590,-0.503586,0.025375,0.000789,0.0,0.0,-5265.276022473445,-4722.52470966554,-0.051751,-0.048038,6480.2,6140.3,0.090196,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778824575.362904,14,1.643418,-0.003473,0.009717,-0.0509,0.0095,0.001216,1.648334,0.000059,0.000031,-0.0002,1.643483,-0.003353,0.009721,0.0091,0.0080,0.000309,0.239536,0.0000,1.643483,0.000000,0.000000,5.0000,0.000000,2.000000,2974.3188,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2147,0.0000,0.000000,0.5360,2.26,3.51,8.04,2.91,0.000059,0.0018,-5.0002,0.008000,0.061103,0.8778,-0.511094,0.021498,0.000297,0.0,0.0,-4710.826497002747,-4120.477987882367,-0.046170,-0.041622,6475.4,6145.1,0.098571,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778824575.374837,15,1.638547,-0.020221,0.003370,-0.0727,-0.0014,-0.000757,1.648320,0.000067,0.000035,-0.0002,1.638597,-0.020132,0.003372,0.0077,0.0070,0.000201,0.256871,0.0000,1.638597,0.000000,0.000000,5.0000,0.000000,2.000000,2970.8891,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2286,0.0000,0.000000,0.5600,1.99,3.41,7.39,2.85,0.000067,0.0020,-5.0002,0.008000,0.086575,0.2597,-0.514297,0.016461,0.000268,0.0,0.0,-3761.3774318651163,-3345.5515559357973,-0.036249,-0.033546,6470.7,6149.9,0.106802,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778824575.386788,16,1.663229,0.038723,0.005500,-0.0649,-0.0246,-0.000664,1.648307,0.000076,0.000039,-0.0001,1.663267,0.038769,0.005501,0.0065,0.0040,0.000117,0.273733,0.0000,1.663267,0.000000,-0.000000,5.0000,0.000000,2.000000,2967.9052,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2429,0.0000,0.000000,0.5840,1.75,3.33,6.83,2.85,0.000076,0.0022,-5.0001,0.008000,0.039560,0.5608,-0.516913,0.010346,0.000551,0.0,0.0,-2057.217043715206,-1828.803277857464,-0.019326,-0.017992,6466.1,6154.4,0.114758,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778824575.398887,17,1.682344,0.020335,0.004290,-0.0003,0.0517,0.001862,1.648295,0.000085,0.000044,-0.0000,1.682374,0.020416,0.004292,0.0056,0.0079,0.000279,0.290089,0.0000,1.682374,0.000000,-0.000000,5.0000,0.000000,2.000000,2964.5217,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2575,0.0000,0.000000,0.6080,1.56,3.24,6.36,2.74,0.000085,0.0025,-5.0000,0.008000,0.030195,0.3854,-0.519560,0.019088,0.000888,0.0,0.0,-3551.929154233194,-3111.3875292919365,-0.036718,-0.033266,6461.8,6158.8,0.122393,0.000000,0.000000,0.5000,1.0000,,,,,
0.2160,1778824575.410851,18,1.577735,-0.002878,-0.002536,0.0056,-0.0071,-0.001140,1.648284,0.000095,0.000048,0.0000,1.577766,-0.002822,-0.002535,0.0059,0.0061,0.000165,0.306367,0.0000,1.577766,0.000000,0.000000,5.0000,0.000000,2.000000,2961.3410,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2725,0.0000,0.000000,0.6320,1.39,3.19,5.97,2.87,0.000095,0.0028,-5.0000,0.008000,0.203346,-0.3674,-0.520985,0.013751,0.000510,0.0,0.0,-2529.8528299926584,-2301.6332511213495,-0.026153,-0.024824,6457.4,6163.1,0.129950,0.000000,0.000000,0.5000,1.0000,,,,,
0.2280,1778824575.422912,19,1.621137,-0.073867,0.003649,0.0216,0.0945,-0.001025,1.648273,0.000105,0.000053,0.0001,1.621184,-0.073749,0.003650,0.0093,0.0141,0.000250,0.322848,0.0000,1.621184,0.000000,0.000000,5.0000,0.000000,2.000000,2959.2201,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2878,0.0000,0.000000,0.6560,1.26,3.16,5.68,3.04,0.000105,0.0030,-4.9999,0.008000,0.115943,0.3645,-0.519418,0.026952,-0.000173,0.0,0.0,-4563.531975142917,-4373.848094508083,-0.056985,-0.057222,6453.1,6167.5,0.137517,0.000000,0.000000,0.5000,1.0000,,,,,
0.2400,1778824575.434855,20,1.599170,0.021287,0.000261,-0.0247,-0.0426,0.001129,1.648263,0.000116,0.000057,0.0001,1.599208,0.021347,0.000263,0.0079,0.0076,0.000195,0.338252,0.0000,1.599208,0.000000,0.000000,5.0000,0.000000,2.000000,2955.6213,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3034,0.0000,0.000000,0.6800,1.13,3.14,5.40,2.98,0.000116,0.0033,-4.9999,0.008000,0.190280,0.2612,-0.522614,0.012912,-0.000413,0.0,0.0,-2616.8305437582876,-2411.5268366019673,-0.030221,-0.028971,6449.1,6171.5,0.144556,0.000000,0.000000,0.5000,1.0000,,,,,
0.2520,1778824575.446908,21,1.705980,-0.073166,-0.002534,0.0553,0.0306,-0.001428,1.648253,0.000127,0.000062,0.0001,1.706066,-0.073097,-0.002533,0.0174,0.0094,0.000134,0.354261,0.0000,1.706066,0.000000,-0.000000,5.0000,0.000000,2.000000,2953.7038,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3193,0.0000,0.000000,0.7040,1.03,3.16,5.22,3.26,0.000127,0.0036,-4.9999,0.008000,0.100469,-0.0471,-0.514874,0.014217,-0.000951,0.0,0.0,-2822.4315764906746,-2757.362450338154,-0.035333,-0.036147,6444.9,6175.7,0.151821,0.000000,0.000000,0.5000,1.0000,,,,,
0.2640,1778824575.458830,22,1.634201,0.071287,0.001945,0.0130,-0.0352,0.000697,1.648245,0.000139,0.000067,0.0002,1.634282,0.071316,0.001945,0.0169,0.0041,0.000085,0.369318,0.0000,1.634282,0.000000,0.000000,5.0000,0.000000,2.000000,2951.1130,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3354,0.0000,0.000000,0.7280,0.94,3.13,5.01,2.96,0.000139,0.0038,-4.9998,0.008000,0.165996,0.4824,-0.517106,-0.000102,-0.000487,0.0,0.0,-1219.1918424609687,-1152.453033779469,-0.015320,-0.015087,6441.0,6179.6,0.158614,0.000000,0.000000,0.5000,1.0000,,,,,
0.2760,1778824575.470848,23,1.562007,-0.022329,-0.011968,0.0476,-0.0916,-0.000297,1.648236,0.000151,0.000072,0.0002,1.562115,-0.022373,-0.011969,0.0232,-0.0063,-0.000123,0.384693,0.0000,1.562115,0.000000,0.000000,5.0000,0.000000,2.000000,2947.6750,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3518,0.0000,0.000000,0.7520,0.87,3.15,4.89,3.32,0.000151,0.0041,-4.9998,0.008000,0.134535,-1.2443,-0.512571,-0.018746,-0.000236,0.0,0.0,1670.9719017306757,1592.8985968798386,0.023269,0.023078,6437.0,6183.6,0.165559,0.000000,0.000000,0.5000,1.0000,,,,,
0.2880,1778824575.482839,24,1.596840,-0.040854,0.005465,-0.0041,-0.1226,0.001468,1.648229,0.000164,0.000077,0.0002,1.596928,-0.040973,0.005465,0.0191,-0.0183,-0.000239,0.399316,0.0000,1.596928,0.000000,0.000000,5.0000,0.000000,2.000000,2945.3742,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3685,0.0000,0.000000,0.7760,0.81,3.15,4.76,3.11,0.000164,0.0044,-4.9998,0.008000,0.095839,0.1186,-0.518443,-0.039486,-0.000017,0.0,0.0,3482.9216626087477,3402.775508942955,0.065229,0.066943,6433.3,6187.3,0.172105,0.000000,0.000000,0.5000,1.0000,,,,,
0.3000,1778824575.494877,25,1.661814,-0.010571,0.004000,0.1753,-0.1239,-0.000891,1.648222,0.000178,0.000082,0.0002,1.662042,-0.010752,0.003998,0.0497,-0.0284,-0.000486,0.413561,0.0000,1.662042,0.000000,-0.000000,5.0000,0.000000,2.000000,2942.7414,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3854,0.0000,0.000000,0.8000,0.76,3.10,4.61,2.81,0.000178,0.0047,-4.9998,0.008000,0.072972,-0.0860,-0.489546,-0.054009,0.000225,0.0,0.0,3814.5620736874816,3676.233346512757,0.100827,0.101074,6429.6,6191.0,0.178487,0.000000,0.000000,0.5000,1.0000,,,,,
0.3120,1778824575.506844,26,1.537066,0.020132,-0.001362,-0.0004,0.0061,-0.001510,1.648215,0.000192,0.000087,0.0002,1.537244,0.019992,-0.001364,0.0405,-0.0227,-0.000481,0.426506,0.0000,1.537244,0.000000,0.000000,5.0000,0.000000,2.000000,2940.6353,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.4025,0.0000,0.000000,0.8240,0.71,3.05,4.47,2.79,0.000192,0.0050,-4.9998,0.008000,0.197092,-0.3251,-0.500438,-0.046735,-0.000344,0.0,0.0,2968.529433536976,2830.2323684032235,0.080003,0.078285,6426.2,6194.3,0.184331,0.000000,0.000000,0.5000,1.0000,,,,,
0.3240,1778824575.518885,27,1.660372,-0.047707,0.001666,0.0105,0.0246,0.001063,1.648209,0.000208,0.000092,0.0002,1.660522,-0.047800,0.001665,0.0351,-0.0158,-0.000270,0.440235,0.0000,1.660522,0.000000,-0.000000,5.0000,0.000000,2.000000,2938.9062,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.4198,0.0000,0.000000,0.8480,0.67,3.01,4.35,2.76,0.000208,0.0053,-4.9998,0.008000,0.054799,0.2397,-0.507494,-0.032774,-0.000175,0.0,0.0,1916.3727704235955,1848.4517465743295,0.054424,0.054389,6422.7,6197.9,0.190497,0.000000,0.000000,0.5000,1.0000,,,,,
0.3360,1778824575.530856,28,1.548151,-0.055274,-0.002073,-0.0292,0.0104,0.001588,1.648203,0.000224,0.000097,0.0002,1.548270,-0.055340,-0.002072,0.0287,-0.0117,-0.000088,0.453229,0.0000,1.548270,0.000000,0.000000,5.0000,0.000000,2.000000,2937.0521,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.4374,0.0000,0.000000,0.8720,0.64,2.98,4.26,2.81,0.000224,0.0056,-4.9998,0.008000,0.126105,-0.3301,-0.515557,-0.033246,-0.000323,0.0,0.0,1480.940218516747,1490.3907831469644,0.038916,0.040914,6419.4,6201.2,0.196327,0.000000,0.000000,0.5000,1.0000,,,,,
0.3480,1778824575.542947,29,1.641213,-0.034078,-0.001156,-0.0100,0.0717,-0.000528,1.648197,0.000241,0.000102,0.0002,1.641308,-0.034084,-0.001156,0.0235,-0.0013,0.000030,0.466617,0.0000,1.641308,0.000000,0.000000,5.0000,0.000000,2.000000,2934.5604,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.4551,0.0000,0.000000,0.8960,0.63,2.98,4.23,2.97,0.000241,0.0059,-4.9998,0.008000,0.057075,-0.0821,-0.522271,-0.009015,0.000104,0.0,0.0,166.3378511682172,198.6450934786039,0.003983,0.004922,6415.9,6204.6,0.202290,0.000000,0.000000,0.5000,1.0000,,,,,
0.3600,1778824575.554885,30,1.634042,-0.022859,-0.004912,-0.0259,-0.0177,-0.000916,1.648192,0.000259,0.000108,0.0002,1.634118,-0.022876,-0.004912,0.0194,-0.0031,-0.000074,0.479581,0.0000,1.634118,0.000000,0.000000,5.0000,0.000000,2.000000,2932.5032,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.4730,0.0000,0.000000,0.9200,0.60,2.97,4.18,2.93,0.000259,0.0062,-4.9998,0.008000,0.133600,-0.1380,-0.528043,-0.014187,-0.000644,0.0,0.0,440.1628143841483,409.7472549225709,0.010615,0.010201,6412.6,6207.9,0.208058,0.000000,0.000000,0.5000,1.0000,,,,,
0.3720,1778824575.566894,31,1.555236,-0.003202,0.003368,0.0692,0.0170,0.000426,1.648187,0.000277,0.000113,0.0001,1.555354,-0.003205,0.003368,0.0294,-0.0005,0.000003,0.492266,0.0000,1.555354,0.000000,0.000000,5.0000,0.000000,2.000000,2930.4788,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.4910,0.0000,0.000000,0.9440,0.59,2.93,4.11,2.71,0.000277,0.0065,-4.9999,0.008000,0.151141,0.0819,-0.519510,-0.004223,0.000394,0.0,0.0,70.91433067705046,77.247499373918,0.001698,0.001909,6409.4,6211.2,0.213693,0.000000,0.000000,0.5000,1.0000,,,,,
0.3840,1778824575.578848,32,1.747474,-0.020485,-0.001758,0.0010,0.0134,0.000936,1.648182,0.000297,0.000118,0.0001,1.747569,-0.020479,-0.001758,0.0243,0.0011,0.000096,0.504549,0.0000,1.747569,0.000000,-0.000000,5.0000,0.000000,2.000000,2928.7580,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.5087,0.0000,0.000000,0.9680,0.56,2.92,4.05,2.86,0.000297,0.0068,-4.9999,0.008000,0.133150,0.5853,-0.526155,0.007449,0.000103,0.0,0.0,-182.80267108070373,-122.14500580060376,-0.004385,-0.003019,6406.2,6214.3,0.219193,0.000000,0.000000,0.5000,1.0000,,,,,
0.3960,1778824575.590844,33,1.572597,0.037251,-0.001616,0.0297,-0.0012,0.000666,1.648177,0.000318,0.000123,0.0001,1.572696,0.037256,-0.001615,0.0258,0.0008,0.000125,0.515868,0.0000,1.572696,0.000000,0.000000,5.0000,0.000000,2.000000,2927.2870,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.5261,0.0000,0.000000,0.9920,0.54,2.88,3.97,2.66,0.000318,0.0071,-4.9999,0.008000,0.110621,-0.4047,-0.526188,0.017866,0.000338,0.0,0.0,-144.66377302455612,-61.42898315652012,-0.003470,-0.001517,6403.4,6217.2,0.224234,0.000000,0.000000,0.5000,1.0000,,,,,
0.4080,1778824575.603008,34,1.632224,0.028902,-0.001581,0.1174,-0.0271,0.000687,1.648172,0.000341,0.000129,-0.0000,1.632394,0.028890,-0.001580,0.0439,-0.0026,0.000102,0.526878,0.0000,1.632394,0.000000,0.000000,5.0000,0.000000,2.000000,2925.6090,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.5433,0.0000,0.000000,1.0160,0.54,2.86,3.94,2.75,0.000341,0.0074,-5.0000,0.008000,0.092466,-0.3170,-0.509484,0.021900,0.000800,0.0,0.0,301.5746118348753,391.04104462224905,0.007257,0.009710,6400.5,6220.0,0.229140,0.000000,0.000000,0.5000,1.0000,,,,,
0.4200,1778824575.614999,35,1.673159,0.026432,0.003419,0.0584,0.0173,-0.000871,1.648168,0.000364,0.000134,-0.0001,1.673339,0.026433,0.003419,0.0472,-0.0000,0.000051,0.538389,0.0000,1.673339,0.000000,-0.000000,5.0000,0.000000,2.000000,2924.0053,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.5603,0.0000,0.000000,1.0400,0.53,2.83,3.88,2.64,0.000364,0.0077,-5.0001,0.008000,0.083914,0.2769,-0.507586,0.020728,0.000659,0.0,0.0,-13.192210376969744,22.240573026418215,-0.000316,0.000549,6397.6,6223.0,0.234259,0.000000,0.000000,0.5000,1.0000,,,,,
0.4320,1778824575.627023,36,1.596154,-0.054307,0.008166,-0.0133,0.0242,0.001011,1.648192,0.000307,0.000143,0.0048,1.596299,-0.054291,0.008167,0.0385,0.0029,0.000164,0.569611,0.0000,1.596299,0.000000,0.000000,5.0000,0.000000,2.000000,2920.0539,2,3,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.5771,0.0000,0.000000,1.0640,0.52,2.81,3.85,2.70,0.000307,0.0082,-4.9952,0.008000,0.117014,0.3735,-0.517681,0.018726,0.000284,-240.85472741334718,-267.5326318538589,-424.313451535533,-334.3750152887443,-0.010264,-0.008274,6389.7,6230.9,0.248091,0.000000,0.000000,0.5000,1.0000,,,,,
