t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,sand,1.000,0.450,0.0000,0.0427,-0.0109,-0.0001,-0.7030,-0.0246,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,sand,1.000,0.450,0.0126,0.0002,0.0096,0.0009,-0.6546,0.0181,-0.0291,-0.0291,-0.0291,-0.0291,0.0000
0.0240,sand,1.000,0.450,0.0251,-0.0362,0.0687,-0.0040,-0.4045,-0.0339,-0.0060,-0.0060,-0.0060,-0.0060,0.0060
0.0360,sand,1.000,0.450,0.0377,0.0466,0.0904,-0.0048,-0.0437,0.0877,0.0153,0.0153,0.0153,0.0153,0.0159
0.0480,sand,1.000,0.450,0.0502,-0.0597,-0.1075,-0.0023,0.1489,0.0001,0.0228,0.0228,0.0228,0.0228,0.0224
0.0600,sand,1.000,0.450,0.0627,0.0623,-0.0208,-0.0009,0.8832,-0.0048,-0.0167,-0.0167,-0.0167,-0.0167,0.0268
0.0720,sand,1.000,0.450,0.0751,-0.0262,0.0182,-0.0023,0.1766,-0.0943,-0.0196,-0.0196,-0.0196,-0.0196,0.0328
0.0840,sand,1.000,0.450,0.0875,-0.0524,-0.0135,-0.0032,0.0643,-0.0752,-0.0116,-0.0116,-0.0116,-0.0116,0.0373
0.0960,sand,1.000,0.450,0.0999,0.0199,0.0793,-0.0020,-0.1642,0.1939,-0.0051,-0.0051,-0.0051,-0.0051,0.0465
0.1080,sand,1.000,0.450,0.1121,-0.0186,-0.1068,-0.0012,0.0180,-0.2295,-0.0068,-0.0068,-0.0068,-0.0068,0.0537
0.1200,sand,1.000,0.450,0.1243,0.0029,0.0283,-0.0008,0.0277,-0.0638,-0.0107,-0.0107,-0.0107,-0.0107,0.0584
0.1320,sand,1.000,0.450,0.1365,0.0227,0.0113,-0.0056,0.2767,-0.0771,-0.0252,-0.0251,-0.0252,-0.0252,0.0663
0.1440,sand,1.000,0.450,0.1485,-0.0045,-0.0433,-0.0023,0.0881,-0.0064,-0.0255,-0.0255,-0.0255,-0.0255,0.0708
0.1560,sand,1.000,0.450,0.1605,-0.0096,-0.0063,-0.0011,0.0111,0.0752,-0.0338,-0.0338,-0.0338,-0.0338,0.0752
0.1680,sand,1.000,0.450,0.1723,0.0111,-0.1200,-0.0040,0.0931,-0.0666,-0.0450,-0.0450,-0.0450,-0.0450,0.0818
0.1800,sand,1.000,0.450,0.1841,-0.0618,-0.0338,-0.0023,0.0986,-0.1143,-0.0520,-0.0520,-0.0520,-0.0520,0.0894
0.1920,sand,1.000,0.450,0.1957,-0.0710,-0.0685,-0.0033,0.0292,-0.0270,-0.0703,-0.0703,-0.0703,-0.0703,0.0963
0.2040,sand,1.000,0.450,0.2072,-0.0809,-0.0187,-0.0030,0.2245,-0.2514,-0.0823,-0.0823,-0.0823,-0.0823,0.1036
0.2160,sand,1.000,0.450,0.2186,0.0801,0.0103,-0.0013,-0.1672,1.6837,-0.1049,-0.1049,-0.1049,-0.1049,0.1074
0.2280,sand,1.000,0.450,0.2298,0.0240,-0.0470,-0.0012,0.0843,0.0468,-0.1283,-0.1283,-0.1283,-0.1283,0.1125
0.2400,sand,1.000,0.450,0.2409,0.0453,0.0314,-0.0022,0.0705,-0.4274,-0.1502,-0.1501,-0.1502,-0.1502,0.1186
0.2520,sand,1.000,0.450,0.2518,0.0544,-0.0019,-0.0009,0.1141,0.1734,-0.1767,-0.1767,-0.1767,-0.1767,0.1260
0.2640,sand,1.000,0.450,0.2626,-0.0599,-0.1156,-0.0017,-0.0249,-0.1104,-0.2164,-0.2164,-0.2164,-0.2164,0.1320
0.2760,sand,1.000,0.450,0.2732,0.0610,-0.0085,-0.0016,-0.0752,0.1962,-0.2357,-0.2357,-0.2357,-0.2357,0.1354
0.2880,sand,1.000,0.450,0.2836,-0.0169,0.0128,-0.0002,0.0412,-0.3252,-0.2650,-0.2649,-0.2650,-0.2650,0.1369
0.3000,sand,1.000,0.450,0.2939,0.0208,0.0127,-0.0034,0.0019,-0.0302,-0.3147,-0.3147,-0.3147,-0.3147,0.1457
0.3120,sand,1.000,0.450,0.3040,-0.0244,-0.0242,-0.0025,-0.0612,-0.1287,-0.3463,-0.3463,-0.3463,-0.3463,0.1552
0.3240,sand,1.000,0.450,0.3138,-0.0086,0.0738,0.0003,-0.3939,-0.2743,-0.3936,-0.3936,-0.3936,-0.3936,0.1573
0.3360,sand,1.000,0.450,0.3235,0.0029,-0.0624,0.0015,-0.0348,0.2227,-0.4267,-0.4267,-0.4267,-0.4267,0.1580
0.3480,sand,1.000,0.450,0.3330,0.0284,0.0817,-0.0026,0.3109,0.3892,-0.4816,-0.4816,-0.4816,-0.4816,0.1628
0.3600,sand,1.000,0.450,0.3423,-0.0164,0.0859,-0.0032,0.0777,-0.7402,-0.5312,-0.5312,-0.5312,-0.5312,0.1748
0.3720,sand,1.000,0.450,0.3513,-0.0425,0.0709,-0.0039,-0.1675,-0.3094,-0.6111,-0.6111,-0.6111,-0.6111,0.1817
0.3840,sand,1.000,0.450,0.3602,0.0407,-0.0331,-0.0006,0.2477,-0.2747,-0.6486,-0.6486,-0.6487,-0.6487,0.1814
0.3960,sand,1.000,0.450,0.3688,-0.0495,0.0328,0.0006,-0.0496,0.1917,-0.6659,-0.6659,-0.6659,-0.6660,0.1834
0.4080,sand,1.000,0.450,0.3771,-0.0626,-0.0090,-0.0032,-0.0016,-0.0833,-0.7754,-0.7754,-0.7754,-0.7754,0.1939
0.4200,sand,1.000,0.450,0.3853,0.0249,0.0988,-0.0027,-0.3744,-0.2726,-0.8401,-0.8365,-0.8373,-0.8374,0.1971
0.4320,sand,1.000,0.450,0.3931,0.0739,0.0337,0.0027,1.0218,-1.6152,-0.8231,-0.6806,-0.7306,-0.7791,0.1913
0.4440,sand,1.000,0.450,0.4008,0.0635,0.0215,0.0037,2.9226,-0.5418,-0.3178,-0.0558,-0.5632,-0.7767,0.1972
0.4560,sand,1.000,0.450,0.4082,0.1113,0.0009,0.0086,2.9835,-0.0061,-0.3925,0.2741,-0.8156,-0.8406,0.2057
0.4680,sand,1.000,0.450,0.4153,0.1207,0.0311,0.0117,2.6822,0.0579,-0.6090,0.3897,-0.5631,-0.6363,0.2072
0.4800,sand,1.000,0.450,0.4222,0.1302,-0.0008,0.0110,2.3628,-0.9555,-0.7770,0.2197,-0.4084,-0.5269,0.2014
0.4920,sand,1.000,0.450,0.4288,0.2022,-0.0741,0.0104,2.5489,-0.8814,-0.4947,-0.0075,-0.4765,-0.3346,0.1982
0.5040,sand,1.000,0.450,0.4351,0.1555,0.0069,0.0040,1.5077,-1.5854,-0.3482,-0.1643,-2.1107,1.0165,0.2038
0.5160,sand,1.000,0.450,0.4411,0.1406,-0.0850,-0.0183,1.9107,0.0008,-1.8403,0.8536,-2.2121,0.9297,0.2088
0.5280,sand,1.000,0.450,0.4469,0.1709,-0.0772,0.0203,-0.2103,-2.2843,-2.3819,0.8320,-2.1632,0.6099,0.2091
0.5400,sand,1.000,0.450,0.4524,0.2083,0.0132,-0.0066,0.3899,1.6670,-2.4904,0.5506,-1.4140,0.2172,0.2098
0.5520,sand,1.000,0.450,0.4576,0.1327,-0.0498,-0.0041,-0.0433,-0.5347,-2.7202,0.4378,-0.0920,-0.0626,0.2124
0.5640,sand,1.000,0.450,0.4625,0.1468,-0.0591,0.0210,3.2797,1.1919,-1.8817,0.3734,-0.3939,0.3273,0.2131
0.5760,sand,1.000,0.450,0.4672,0.3243,-0.0939,0.0040,-3.8895,0.5592,-0.8691,0.7629,-0.4795,-0.0367,0.2155
0.5880,sand,1.000,0.450,0.4715,0.0844,0.0180,0.0199,-3.9167,-1.0502,-0.3897,-0.1800,-0.2907,-0.1865,0.2177
0.6000,sand,1.000,0.450,0.4755,0.0850,0.0406,0.0188,-1.6595,0.1223,-0.0607,-0.3262,-0.2941,-0.1154,0.2202
0.6120,sand,1.000,0.450,0.4793,0.1546,0.0274,0.0207,-1.6446,-0.1485,-0.1738,-0.4905,-0.2131,-0.3607,0.2231
0.6240,sand,1.000,0.450,0.4827,0.0452,-0.1409,0.0206,-0.5082,0.2549,-0.3074,-0.4402,-0.1402,-0.3662,0.2282
0.6360,sand,1.000,0.450,0.4858,0.1850,-0.0252,0.0208,0.5090,0.0619,-0.3574,-0.4434,-0.5086,-0.3404,0.2294
0.6480,sand,1.000,0.450,0.4886,0.1400,-0.1037,0.0153,-2.0850,-0.0499,-1.2066,-0.7477,-0.4985,-0.3014,0.2327
0.6600,sand,1.000,0.450,0.4911,0.0156,0.0067,0.0153,0.2713,-0.1996,-1.5888,-0.8257,-0.5843,-0.4560,0.2386
0.6720,sand,1.000,0.450,0.4933,0.1299,-0.0503,0.0112,0.3499,0.0513,-1.8696,-1.1283,-0.3553,-0.5172,0.2411
0.6840,sand,1.000,0.450,0.4952,0.0601,-0.0624,0.0028,0.7041,1.3557,-2.5002,-1.6802,-0.6092,-0.7375,0.2428
0.6960,sand,1.000,0.450,0.4968,0.1821,0.0183,0.0082,0.7399,0.7316,-2.9853,-2.1860,-1.0195,-0.8788,0.2449
0.7080,sand,1.000,0.450,0.4981,0.0910,-0.0367,-0.0013,0.1800,0.9979,-3.3096,-2.6869,-0.4064,-1.4535,0.2462
0.7200,sand,1.000,0.450,0.4990,0.1211,-0.0507,-0.0045,-0.0249,0.6837,-3.7818,-3.1591,-0.3393,-1.9482,0.2466
0.7320,sand,1.000,0.450,0.4996,0.1768,-0.1291,-0.0081,-0.1210,0.4057,-4.2046,-3.5819,-0.1945,-2.5391,0.2471
0.7440,sand,1.000,0.450,0.5000,0.2010,0.0627,-0.0081,-0.2681,0.3429,-4.6035,-3.9809,-0.2170,-2.9411,0.2482
0.7560,sand,1.000,0.450,0.5000,0.1551,-0.0441,-0.0094,-0.1319,0.3705,-5.0056,-4.3830,-0.2698,-3.1805,0.2491
0.7680,sand,1.000,0.450,0.4996,0.1048,-0.0275,-0.0127,0.1392,0.3357,-5.4519,-4.8292,-0.2963,-3.1148,0.2494
0.7800,sand,1.000,0.450,0.4990,0.0934,0.0345,-0.0103,-0.2643,-0.0316,-5.9759,-5.3532,-0.2423,-2.9189,0.2494
0.7920,sand,1.000,0.450,0.4981,0.1105,-0.0689,-0.0004,0.4424,-0.6842,-6.3319,-6.0161,-0.4142,-2.2878,0.2493
0.8040,sand,1.000,0.450,0.4968,0.1726,0.0120,0.0024,0.9209,-0.2094,-6.5990,-6.9103,-0.4373,-0.8811,0.2493
0.8160,sand,1.000,0.450,0.4952,0.1570,-0.0510,0.0053,2.4988,0.1186,-6.8976,-7.9905,-0.3871,-0.2595,0.2496
0.8280,sand,1.000,0.450,0.4933,0.2228,-0.0226,0.0078,-0.4726,0.2954,-7.4223,-8.5300,-0.3033,-0.2468,0.2498
0.8400,sand,1.000,0.450,0.4911,0.0874,0.0236,0.0164,0.3824,1.0227,-7.9116,-8.0288,-0.0029,-0.4765,0.2497
0.8520,sand,1.000,0.450,0.4886,0.2494,-0.0127,0.0239,2.3903,1.6366,-8.1094,-6.4571,0.0599,-0.4830,0.2490
0.8640,sand,1.000,0.450,0.4858,0.1273,0.0994,0.0267,2.6505,0.9258,-7.8134,-4.1884,-0.2832,-0.6551,0.2473
0.8760,sand,1.000,0.450,0.4827,0.2174,0.0566,0.0319,3.9862,1.4097,-6.1930,-2.9324,-0.5890,-0.9395,0.2434
0.8880,sand,1.000,0.450,0.4793,0.4004,0.0061,0.0424,2.9448,0.5235,-6.2269,-3.0307,-0.6773,-1.1203,0.2390
0.9000,sand,1.000,0.450,0.4755,0.3467,0.0340,0.0509,4.6024,0.9423,-6.0723,-2.4111,-0.8209,-1.2115,0.2371
0.9120,sand,1.000,0.450,0.4715,0.3672,0.0823,0.0717,4.2943,2.0832,-6.0794,-1.4361,-0.8126,-1.2285,0.2362
0.9240,sand,1.000,0.450,0.4672,0.4288,0.0792,0.0807,1.4126,2.2172,-4.5220,-1.5034,-1.2460,-1.1510,0.2336
0.9360,sand,1.000,0.450,0.4625,0.4047,0.0283,0.0794,4.0166,1.8474,-3.3086,-1.6721,-1.4620,-1.1220,0.2283
0.9480,sand,1.000,0.450,0.4576,0.4385,0.1941,0.0917,2.9975,1.1975,-2.5706,-1.4267,-1.6826,-1.2426,0.2234
0.9600,sand,1.000,0.450,0.4524,0.5682,0.0949,0.0903,3.7345,0.1149,-1.5374,-1.7156,-0.9090,-1.9103,0.2199
0.9720,sand,1.000,0.450,0.4469,0.5666,0.0505,0.0755,0.3487,0.0728,-1.6312,-1.7641,-0.8273,-1.9877,0.2183
0.9840,sand,1.000,0.450,0.4411,0.6022,0.0296,0.0605,2.4783,-0.5885,-1.7968,-1.7325,-0.8495,-2.0395,0.2177
0.9960,sand,1.000,0.450,0.4351,0.6270,0.1379,0.0622,1.4805,0.2173,-1.5896,-2.0638,-0.8470,-2.3617,0.2164
1.0080,sand,1.000,0.450,0.4288,0.5914,0.1130,0.0594,4.8002,-1.1350,-1.5671,-2.0939,-1.2041,-2.0445,0.2150
1.0200,sand,1.000,0.450,0.4222,0.7478,0.1441,0.0682,0.2812,2.3885,-1.6913,-2.0353,-1.5172,-1.9294,0.2121
1.0320,sand,1.000,0.450,0.4153,0.7057,0.1203,0.0682,2.0611,-0.3560,-1.5356,-2.3680,-1.3382,-2.2589,0.2086
1.0440,sand,1.000,0.450,0.4082,0.7230,0.0671,0.0649,4.3753,-1.1560,-1.8211,-2.3014,-1.3296,-2.2299,0.2050
1.0560,sand,1.000,0.450,0.4008,0.7990,0.1152,0.0752,0.2637,0.6544,-1.7733,-2.4182,-1.4286,-2.3030,0.2014
1.0680,sand,1.000,0.450,0.3931,0.7706,0.1529,0.0787,2.5026,-0.9729,-1.8301,-2.7161,-1.3614,-2.5215,0.1976
1.0800,sand,1.000,0.450,0.3853,0.7806,0.2109,0.0812,-0.4766,-0.0525,-1.9214,-3.1519,-1.4377,-2.4309,0.1939
1.0920,sand,1.000,0.450,0.3771,0.8872,0.0829,0.0840,-0.0853,-0.2606,-1.9970,-3.3807,-1.5838,-2.3180,0.1900
1.1040,sand,1.000,0.450,0.3688,0.8904,0.0920,0.0829,2.8095,-0.3592,-2.1549,-3.4906,-1.7980,-2.1978,0.1865
1.1160,sand,1.000,0.450,0.3602,0.9411,0.1312,0.0831,2.0352,0.6914,-2.3786,-3.4850,-1.8412,-2.5771,0.1826
1.1280,sand,1.000,0.450,0.3513,0.8354,0.1639,0.0776,1.7235,0.3757,-2.4102,-3.9643,-1.9518,-2.3590,0.1778
1.1400,sand,1.000,0.450,0.3423,0.9325,0.1046,0.0787,2.0792,0.8749,-2.6730,-4.1328,-1.7604,-2.6019,0.1740
1.1520,sand,1.000,0.450,0.3330,0.8874,0.1777,0.0806,1.3692,0.4000,-2.3822,-4.2544,-1.9970,-2.6239,0.1692
1.1640,sand,1.000,0.450,0.3235,1.0401,0.0737,0.0765,2.8057,0.3523,-2.5514,-4.0846,-2.0699,-2.6062,0.1652
1.1760,sand,1.000,0.450,0.3138,1.0557,0.1147,0.0770,2.1572,0.3525,-2.5584,-4.3534,-2.1338,-2.6377,0.1611
1.1880,sand,1.000,0.450,0.3040,1.0556,0.1304,0.0816,3.2321,-0.6619,-2.6570,-4.2582,-2.0356,-2.7720,0.1559
1.2000,sand,1.000,0.450,0.2939,1.0573,0.0982,0.0817,1.4232,0.3737,-2.6285,-4.4432,-2.3515,-2.8471,0.1498
1.2120,sand,1.000,0.450,0.2836,1.1247,0.1676,0.0795,2.9010,-0.0474,-2.8088,-4.5354,-2.2967,-2.8354,0.1454
1.2240,sand,1.000,0.450,0.2732,1.0851,0.2493,0.0772,3.1968,0.4655,-3.1548,-4.4008,-2.3934,-2.9143,0.1419
1.2360,sand,1.000,0.450,0.2626,1.3145,0.0841,0.0780,2.5791,0.2047,-3.3578,-4.4618,-2.6392,-2.9267,0.1368
1.2480,sand,1.000,0.450,0.2518,1.1331,0.0701,0.0816,3.1904,-0.0388,-3.6789,-4.6162,-2.5202,-3.1706,0.1317
1.2600,sand,1.000,0.450,0.2409,1.2304,0.1365,0.0794,2.4077,0.1199,-3.7201,-4.8442,-2.5389,-3.2709,0.1274
1.2720,sand,1.000,0.450,0.2298,1.3097,0.1429,0.0837,2.4697,0.3786,-3.7952,-4.9696,-2.7235,-3.2266,0.1205
1.2840,sand,1.000,0.450,0.2186,1.1891,0.1279,0.0794,2.4095,0.6931,-3.8446,-5.0410,-2.7615,-3.2842,0.1139
1.2960,sand,1.000,0.450,0.2072,1.3416,0.0878,0.0786,2.1692,0.1474,-3.7645,-5.1021,-2.8672,-3.5370,0.1087
1.3080,sand,1.000,0.450,0.1957,1.3263,0.0683,0.0722,3.7344,-0.0523,-3.6012,-5.2787,-2.8313,-3.6567,0.1032
1.3200,sand,1.000,0.450,0.1841,1.3501,0.0657,0.0774,2.8047,-0.4945,-3.7905,-5.3239,-2.9261,-3.6937,0.0980
1.3320,sand,1.000,0.450,0.1723,1.4824,0.1750,0.0774,2.5013,-0.2558,-3.6664,-5.7000,-2.9822,-3.7595,0.0918
1.3440,sand,1.000,0.450,0.1605,1.4925,0.1330,0.0767,2.2524,0.3652,-3.8028,-5.9549,-3.0680,-3.7526,0.0867
1.3560,sand,1.000,0.450,0.1485,1.4833,0.0909,0.0747,2.4339,-0.2530,-3.7913,-6.0643,-3.2881,-3.7029,0.0815
1.3680,sand,1.000,0.450,0.1365,1.5066,0.1733,0.0711,2.2529,-0.0957,-3.8628,-5.9806,-3.2068,-3.9586,0.0758
1.3800,sand,1.000,0.450,0.1243,1.5315,0.1243,0.0695,2.2015,0.1048,-4.0494,-5.9895,-3.2704,-4.0637,0.0694
1.3920,sand,1.000,0.450,0.1121,1.5259,0.0659,0.0724,2.6980,0.1273,-4.0794,-6.0789,-3.2769,-4.2685,0.0639
1.4040,sand,1.000,0.450,0.0999,1.5897,-0.0044,0.0726,2.2842,-0.0746,-4.0677,-6.2034,-3.3936,-4.1777,0.0578
1.4160,sand,1.000,0.450,0.0875,1.5042,0.0455,0.0732,2.5054,-0.2270,-4.3322,-6.1808,-3.6284,-4.1988,0.0526
1.4280,sand,1.000,0.450,0.0751,1.5658,0.0917,0.0707,1.8070,-0.1695,-4.3881,-6.2595,-3.5759,-4.3105,0.0474
1.4400,sand,1.000,0.450,0.0627,1.6173,0.1038,0.0724,2.4613,-0.5958,-4.6330,-6.3461,-3.5859,-4.3448,0.0402
1.4520,sand,1.000,0.450,0.0502,1.7010,0.1314,0.0719,2.2116,-0.6821,-4.6177,-6.5089,-3.5719,-4.3798,0.0327
1.4640,sand,1.000,0.450,0.0377,1.7071,0.0975,0.0741,2.4430,-0.0005,-4.8119,-6.4446,-3.7881,-4.2918,0.0273
1.4760,sand,1.000,0.450,0.0251,1.7258,0.1660,0.0702,2.0627,0.0535,-4.9423,-6.2951,-3.7702,-4.6023,0.0222
1.4880,sand,1.000,0.450,0.0126,1.6673,0.0915,0.0690,2.4196,-0.0279,-4.9625,-6.2668,-3.8148,-4.6448,0.0138
1.5000,sand,1.000,0.450,0.0000,1.8561,0.1156,0.0674,2.5429,0.0059,-5.0372,-6.4219,-3.8629,-4.5424,0.0065
1.5120,sand,1.000,0.450,-0.0126,1.8327,0.1905,0.0662,2.4926,-0.3349,-5.0747,-6.3613,-3.9734,-4.6745,0.0005
1.5240,sand,1.000,0.450,-0.0251,1.8531,0.0793,0.0628,2.2902,0.2948,-5.2164,-6.1557,-4.1509,-4.8307,-0.0049
1.5360,sand,1.000,0.450,-0.0377,1.8578,0.0310,0.0624,2.8602,-0.4479,-5.2071,-6.1425,-4.1027,-5.0200,-0.0116
1.5480,sand,1.000,0.450,-0.0502,1.9598,0.1070,0.0544,2.4875,-0.6376,-5.0851,-6.3163,-4.1292,-4.9463,-0.0188
1.5600,sand,1.000,0.450,-0.0627,1.9963,0.1162,0.0556,2.4302,-0.1655,-5.2871,-6.2648,-4.2933,-4.9850,-0.0249
1.5720,sand,1.000,0.450,-0.0751,1.9273,0.0130,0.0498,2.6074,-0.1333,-5.2985,-6.2005,-4.4407,-5.0427,-0.0310
1.5840,sand,1.000,0.450,-0.0875,2.0211,0.0662,0.0456,2.6197,-0.5176,-5.0979,-6.4935,-4.3999,-5.0216,-0.0380
1.5960,sand,1.000,0.450,-0.0999,2.0145,0.0119,0.0392,2.3547,-0.1027,-5.2538,-6.7264,-4.4099,-5.0759,-0.0444
1.6080,sand,1.000,0.450,-0.1121,2.0141,0.0909,0.0334,1.8615,0.0144,-5.2576,-6.7813,-4.6124,-5.1234,-0.0501
1.6200,sand,1.000,0.450,-0.1243,2.0865,-0.0411,0.0269,2.3276,-0.6484,-5.2060,-6.8913,-4.6405,-5.0869,-0.0557
1.6320,sand,1.000,0.450,-0.1365,2.0754,-0.0061,0.0228,2.0587,-0.5433,-5.2752,-7.0227,-4.6361,-5.1207,-0.0615
1.6440,sand,1.000,0.450,-0.1485,2.0594,0.0514,0.0210,1.8009,-0.0385,-5.3949,-6.9939,-4.7247,-5.1994,-0.0675
1.6560,sand,1.000,0.450,-0.1605,2.1613,-0.0510,0.0178,2.1028,-0.2554,-5.4095,-6.9929,-4.8019,-5.1975,-0.0736
1.6680,sand,1.000,0.450,-0.1723,2.1833,0.0939,0.0051,1.4866,0.0309,-5.4760,-7.0817,-4.7951,-5.3862,-0.0789
1.6800,sand,1.000,0.450,-0.1841,2.1142,0.0649,0.0064,1.8375,-0.5815,-5.5821,-6.9756,-4.8686,-5.4958,-0.0849
1.6920,sand,1.000,0.450,-0.1957,2.1094,0.1078,0.0004,2.0803,-0.0366,-5.5292,-6.9892,-5.0287,-5.4519,-0.0910
1.7040,sand,1.000,0.450,-0.2072,2.2858,0.0069,-0.0059,2.3864,-0.7056,-5.6045,-7.0253,-4.9657,-5.5885,-0.0958
1.7160,sand,1.000,0.450,-0.2186,2.1785,0.1124,-0.0057,1.8862,-0.3686,-5.7728,-6.8635,-5.0593,-5.7209,-0.1014
1.7280,sand,1.000,0.450,-0.2298,2.3302,-0.0039,-0.0137,1.8701,-0.4602,-5.7203,-6.8525,-5.1512,-5.7685,-0.1073
1.7400,sand,1.000,0.450,-0.2409,2.2050,0.0072,-0.0148,2.0596,-0.5723,-5.8399,-6.8200,-5.1152,-5.9864,-0.1125
1.7520,sand,1.000,0.450,-0.2518,2.3415,0.0060,-0.0189,1.3720,-0.3796,-5.8258,-6.8166,-5.2828,-6.0662,-0.1186
1.7640,sand,1.000,0.450,-0.2626,2.3991,0.0184,-0.0212,2.6797,-0.7596,-5.8426,-6.6902,-5.2660,-6.1441,-0.1241
1.7760,sand,1.000,0.450,-0.2732,2.3955,-0.0842,-0.0259,2.0518,-1.1911,-5.9141,-6.7605,-5.3579,-6.1271,-0.1289
1.7880,sand,1.000,0.450,-0.2836,2.3829,-0.0685,-0.0323,2.0748,-0.7273,-5.8928,-6.8343,-5.4276,-6.0783,-0.1346
1.8000,sand,1.000,0.450,-0.2939,2.3828,-0.0190,-0.0309,2.0989,-0.8762,-5.9277,-6.7757,-5.4004,-6.1594,-0.1392
1.8120,sand,1.000,0.450,-0.3040,2.4170,-0.0840,-0.0297,1.8669,-1.1145,-6.0654,-6.8005,-5.5592,-6.0610,-0.1436
1.8240,sand,1.000,0.450,-0.3138,2.5267,-0.0696,-0.0326,1.1627,-0.7683,-6.0346,-6.9632,-5.6315,-6.0738,-0.1486
1.8360,sand,1.000,0.450,-0.3235,2.4631,0.0062,-0.0386,1.8736,-1.0550,-6.1295,-6.9371,-5.5295,-6.1738,-0.1544
1.8480,sand,1.000,0.450,-0.3330,2.5400,-0.0488,-0.0377,1.2008,-0.8453,-6.2421,-6.9661,-5.7120,-6.1426,-0.1600
1.8600,sand,1.000,0.450,-0.3423,2.4813,-0.0945,-0.0401,1.6380,-0.7789,-6.2325,-6.9899,-5.6994,-6.2631,-0.1642
1.8720,sand,1.000,0.450,-0.3513,2.5300,-0.0978,-0.0402,1.2080,-0.9737,-6.3362,-6.9648,-5.6639,-6.3479,-0.1675
1.8840,sand,1.000,0.450,-0.3602,2.5389,-0.1137,-0.0407,1.6531,-0.4510,-6.2981,-7.0758,-5.8438,-6.2683,-0.1722
1.8960,sand,1.000,0.450,-0.3688,2.5968,-0.2353,-0.0463,1.2564,-0.8115,-6.4211,-7.0091,-5.7734,-6.3892,-0.1789
1.9080,sand,1.000,0.450,-0.3771,2.5801,-0.0980,-0.0552,1.8032,-0.5932,-6.4410,-7.0376,-5.8932,-6.3310,-0.1831
1.9200,sand,1.000,0.450,-0.3853,2.5536,-0.0042,-0.0600,1.2218,-1.1543,-6.4427,-7.1434,-5.9514,-6.4675,-0.1851
1.9320,sand,1.000,0.450,-0.3931,2.5983,-0.0790,-0.0602,1.6697,-1.1410,-6.5495,-7.0904,-5.9648,-6.5156,-0.1893
1.9440,sand,1.000,0.450,-0.4008,2.7384,-0.0964,-0.0654,1.7496,-0.7268,-6.5842,-7.0447,-6.0921,-6.4066,-0.1945
1.9560,sand,1.000,0.450,-0.4082,2.6804,-0.2091,-0.0700,1.3117,-0.6744,-6.6695,-7.0526,-6.0591,-6.5140,-0.1986
1.9680,sand,1.000,0.450,-0.4153,2.6474,-0.0834,-0.0834,1.9460,-0.7317,-6.7595,-6.9862,-6.1775,-6.4690,-0.2020
1.9800,sand,1.000,0.450,-0.4222,2.7106,-0.2206,-0.0889,1.4391,-0.8154,-6.7167,-7.1085,-6.2454,-6.5610,-0.2054
1.9920,sand,1.000,0.450,-0.4288,2.7581,-0.1434,-0.0927,1.9573,-1.0166,-6.8981,-6.9736,-6.2277,-6.6124,-0.2090
2.0040,sand,1.000,0.450,-0.4351,2.7801,-0.2001,-0.0991,1.6317,-0.6080,-6.8801,-6.9705,-6.4434,-6.4536,-0.2124
2.0160,sand,1.000,0.450,-0.4411,2.7041,-0.1499,-0.1037,1.5603,-0.6604,-7.0113,-6.9309,-6.5000,-6.5961,-0.2154
2.0280,sand,1.000,0.450,-0.4469,2.8486,-0.1901,-0.1131,1.4551,-1.0470,-7.0201,-6.9230,-6.5047,-6.7095,-0.2184
2.0400,sand,1.000,0.450,-0.4524,2.7886,-0.1102,-0.1193,1.2845,-0.3753,-7.1180,-6.9921,-6.6283,-6.6605,-0.2211
2.0520,sand,1.000,0.450,-0.4576,2.7675,-0.2313,-0.1243,1.3986,-0.8587,-7.1465,-7.0304,-6.5560,-6.7203,-0.2245
2.0640,sand,1.000,0.450,-0.4625,2.8233,-0.2625,-0.1301,1.3519,-0.6643,-7.1380,-7.1802,-6.6994,-6.6307,-0.2271
2.0760,sand,1.000,0.450,-0.4672,2.8274,-0.1915,-0.1339,1.1951,-0.6850,-7.2265,-7.2226,-6.6501,-6.7297,-0.2291
2.0880,sand,1.000,0.450,-0.4715,2.8601,-0.2355,-0.1417,1.3443,-0.8384,-7.1529,-7.2526,-6.7922,-6.6471,-0.2303
2.1000,sand,1.000,0.450,-0.4755,2.8809,-0.2530,-0.1444,1.2263,-0.6069,-7.2348,-7.3493,-6.7789,-6.7214,-0.2318
2.1120,sand,1.000,0.450,-0.4793,2.8549,-0.2608,-0.1472,1.3584,-0.6620,-7.2751,-7.4065,-6.8344,-6.7348,-0.2348
2.1240,sand,1.000,0.450,-0.4827,2.8676,-0.1646,-0.1492,1.0999,-0.4286,-7.3176,-7.5406,-6.8779,-6.6985,-0.2371
2.1360,sand,1.000,0.450,-0.4858,2.8503,-0.1604,-0.1555,1.4398,-0.9353,-7.3736,-7.6532,-6.8744,-6.7768,-0.2387
2.1480,sand,1.000,0.450,-0.4886,2.9650,-0.2190,-0.1629,1.2251,-0.6875,-7.4005,-7.7192,-6.9554,-6.6851,-0.2395
